Date,Time,Temperature
2015/5/1,0,2
2015/5/1,1,1.7
2015/5/1,2,1.5
2015/5/1,3,1.5
2015/5/1,4,1.1
2015/5/1,5,1.1
2015/5/1,6,1.1
2015/5/1,7,0.8
2015/5/1,8,0.3
2015/5/1,9,-0.7
2015/5/1,10,1
2015/5/1,11,3.4
2015/5/1,12,4.5
2015/5/1,13,5.5
2015/5/1,14,5.7
2015/5/1,15,6.7
2015/5/1,16,6
2015/5/1,17,5.7
2015/5/1,18,5.1
2015/5/1,19,5
2015/5/1,20,4.5
2015/5/1,21,3.3
2015/5/1,22,2.9
2015/5/1,23,3.6
2015/5/1,0,2.3
2015/5/1,1,2.2
2015/5/1,2,1.8
2015/5/1,3,1.9
2015/5/1,4,2.5
2015/5/1,5,3.2
2015/5/1,6,1.9
2015/5/1,8,1.1
2015/5/1,9,0.7
2015/5/1,7,1
2015/5/1,10,1.4
2015/5/1,11,0.6
2015/5/1,12,1.7
2015/5/1,13,2.3
2015/5/1,14,2.5
2015/5/1,15,2.5
2015/5/1,16,4.2
2015/5/1,18,3.2
2015/5/1,17,3.9
2015/5/1,19,3.6
2015/5/1,20,2
2015/5/1,21,1.6
2015/5/1,22,1.5
2015/5/1,23,1.5
2015/5/2,0,1.1
2015/5/2,1,0.8
2015/5/2,2,0.9
2015/5/2,3,0.9
2015/5/2,4,1
2015/5/2,5,0.9
2015/5/2,6,0.2
2015/5/2,8,-1.5
2015/5/2,7,-0.9
2015/5/2,9,-0.4
2015/5/2,10,1.3
2015/5/2,11,3.5
2015/5/2,12,3.6
2015/5/2,13,3.8
2015/5/2,14,4.3
2015/5/2,15,6
2015/5/2,16,5.7
2015/5/2,17,6.2
2015/5/2,18,5.4
2015/5/2,19,4.2
2015/5/2,20,4.8
2015/5/2,21,4.4
2015/5/2,22,4.3
2015/5/2,23,4.2
2015/5/3,0,3.9
2015/5/3,1,3.8
2015/5/3,2,3.7
2015/5/3,3,3.7
2015/5/3,4,3.3
2015/5/3,5,3.1
2015/5/3,7,3.3
2015/5/3,6,3.2
2015/5/3,8,3.2
2015/5/3,9,3.1
2015/5/3,10,3.4
2015/5/3,11,4
2015/5/3,12,4.4
2015/5/3,13,5
2015/5/3,14,5.7
2015/5/3,15,5.9
2015/5/3,16,7.1
2015/5/3,17,5.7
2015/5/3,18,6
2015/5/3,19,5.6
2015/5/3,20,4.4
2015/5/3,21,2.8
2015/5/3,22,0.4
2015/5/3,23,-0.6
2015/5/4,0,-1.1
2015/5/4,1,-1.8
2015/5/4,2,-1.8
2015/5/4,3,-1.9
2015/5/4,4,-2.2
2015/5/4,5,-2.5
2015/5/4,7,-2.9
2015/5/4,6,-2.5
2015/5/4,8,-2.8
2015/5/4,9,-2.3
2015/5/4,10,-0.2
2015/5/4,11,2.5
2015/5/4,12,3.6
2015/5/4,13,5.2
2015/5/4,14,6.1
2015/5/4,15,6.2
2015/5/4,16,6.5
2015/5/4,17,6.7
2015/5/4,18,5.8
2015/5/4,19,5.4
2015/5/4,20,3.5
2015/5/4,21,1
2015/5/4,22,0
2015/5/4,23,-0.3
2015/5/5,0,-0.9
2015/5/5,1,-0.7
2015/5/5,2,-0.4
2015/5/5,3,-0.5
2015/5/5,4,0.2
2015/5/5,5,0.7
2015/5/5,6,1
2015/5/5,7,0.9
2015/5/5,8,0.5
2015/5/5,9,0.4
2015/5/5,10,0.4
2015/5/5,11,0.7
2015/5/5,12,1.1
2015/5/5,13,1.8
2015/5/5,14,2.1
2015/5/5,15,2.3
2015/5/5,16,2.3
2015/5/5,17,2.3
2015/5/5,18,2.8
2015/5/5,19,2.3
