date,temp,rh,pop,wDir,wSpeed
2015010100, -2, 21, 0.00, 43, 0
2015010101, -3, 23, 0.00, 0, 0
2015010102, -4, 29, 0.00, 147, 3
2015010103, -6, 34, 0.00, 167, 3
2015010104, -6, 36, 0.00, 147, 2
2015010105, -9, 39, 0.00, 119, 0
2015010106, -9, 39, 0.00, 142, 0
2015010107, -10, 52, 0.00, 23, 0
2015010108, -10, 53, 0.00, 298, 0
2015010109, -8, 43, 0.00, 346, 1
2015010110, -4, 33, 0.00, 28, 3
2015010111, -2, 32, 0.00, 244, 3
2015010112, -2, 24, 0.00, 329, 0
2015010113, -1, 20, 0.00, 312, 0
2015010114, 3, 19, 0.00, 255, 2
2015010115, 2, 15, 0.00, 207, 1
2015010116, 2, 12, 0.00, 238, 1
2015010117, 2, 13, 0.00, 204, 1
2015010118, 2, 18, 0.00, 198, 2
2015010119, 0, 25, 0.00, 164, 0
2015010120, -3, 29, 0.00, 122, 0
2015010121, -4, 35, 0.00, 74, 0
2015010122, -5, 37, 0.00, 111, 0
2015010123     ,999999,999999,999999,999999,999999
2015010200, -6, 52, 0.00, 334, 0
2015010201, -5, 32, 0.00, 31, 0
2015010202, -4, 40, 0.00, 176, 2
2015010203, -7, 51, 0.00, 272, 1
2015010204, -6, 52, 0.00, 300, 2
2015010205, -6, 50, 0.00, 286, 0
2015010206, -6, 39, 0.00, 28, 0
2015010207, -7, 39, 0.00, 45, 2
2015010208, -5, 40, 0.00, 20, 2
2015010209, -3, 36, 0.00, 60, 4
2015010210, -5, 38, 0.00, 278, 0
2015010211, -2, 38, 0.00, 264, 3
2015010212, -2, 32, 0.00, 0, 0
2015010213, 2, 26, 0.00, 43, 2
2015010214, 3, 24, 0.00, 74, 2
2015010215, 3, 20, 0.00, 275, 0
2015010216, 4, 23, 0.00, 264, 2
2015010217, 4, 25, 0.00, 201, 0
2015010218, 3, 27, 0.00, 130, 0
2015010219, 1, 27, 0.00, 337, 0
2015010220, 0, 30, 0.00, 275, 0
2015010221, 0, 31, 0.00, 128, 0
2015010222, 1, 38, 0.00, 326, 0
2015010223     ,999999,999999,999999,999999,999999
2015010300, -1, 49, 0.00, 128, 0
2015010301, -2, 58, 0.00, 130, 0
2015010302, -4, 51, 0.00, 162, 0
2015010303, -3, 59, 0.00, 71, 2
2015010304, -5, 56, 0.00, 286, 0
2015010305, -3, 65, 0.00, 133, 0
2015010306, -4, 58, 0.00, 119, 2
2015010307, -4, 66, 0.00, 332, 0
2015010308, -4, 57, 0.00, 303, 0
2015010309, -3, 69, 0.00, 142, 2
2015010310, -2, 43, 0.00, 184, 0
2015010311, 1, 45, 0.00, 300, 2
2015010312, 0, 33, 0.00, 272, 0
2015010313, 5, 31, 0.00, 224, 0
2015010314, 4, 23, 0.00, 249, 0
2015010315, 7, 23, 0.00, 232, 0
2015010316, 7, 23, 0.00, 258, 2
2015010317, 6, 26, 0.00, 74, 0
2015010318, 2, 33, 0.00, 111, 0
2015010319, 2, 39, 0.00, 91, 0
2015010320, -1, 44, 0.00, 343, 0
2015010321, -2, 48, 0.00, 34, 0
2015010322, -2, 52, 0.00, 334, 0
2015010323     ,999999,999999,999999,999999,999999
2015010400, -1, 52, 0.00, 139, 2
2015010401, -1, 56, 0.00, 0, 2
2015010402, 0, 45, 0.00, 85, 2
2015010403, -1, 51, 0.00, 0, 2
2015010404, -2, 44, 0.00, 357, 0
2015010405, -3, 57, 0.00, 283, 2
2015010406, -3, 59, 0.00, 306, 2
2015010407, -3, 47, 0.00, 295, 0
2015010408, -2, 51, 0.00, 54, 2
2015010409, -4, 57, 0.00, 320, 0
2015010410, 1, 50, 0.00, 232, 2
2015010411, 0, 43, 0.00, 309, 0
2015010412, 5, 27, 0.00, 71, 0
2015010413, 6, 25, 0.00, 232, 0
2015010414, 10, 24, 0.00, 261, 2
2015010415, 11, 24, 0.00, 45, 0
2015010416, 8, 23, 0.00, 303, 0
2015010417, 9, 29, 0.00, 283, 0
2015010418, 8, 31, 0.00, 198, 2
2015010419, 6, 32, 0.00, 210, 1
2015010420, 7, 35, 0.00, 221, 3
2015010421, 5, 35, 0.00, 252, 2
2015010422, 6, 39, 0.00, 249, 2
2015010423     ,999999,999999,999999,999999,999999
2015010500, 4, 38, 0.00, 232, 0
