date,temp,rh,pop,wDir,wSpeed
2015010100,  -11,  44,  0.00,  17,  0
2015010101,  -13,  41,  0.00,  5,  0
2015010102,  -12,  45,  0.00,  17,  3
2015010103,  -12,  46,  0.00,  19,  3
2015010104,  -14,  46,  0.00,  25,  1
2015010105,  -15,  48,  0.00,  21,  0
2015010106,  -13,  50,  0.00,  18,  4
2015010107,  -16,  50,  0.00,  14,  0
2015010108,  -14,  54,  0.00,  322,  0
2015010109,  -12,  49,  0.00,  27,  3
2015010110,  -12,  40,  0.00,  24,  0
2015010111,  -9,  33,  0.00,  54,  0
2015010112,  -4,  26,  0.00,  204,  3
2015010113,  -2,  21,  0.00,  204,  2
2015010114,  -2,  16,  0.00,  266,  0
2015010115,  -1,  16,  0.00,  245,  1
2015010116,  -1,  14,  0.00,  239,  2
2015010117,  0,  18,  0.00,  230,  3
2015010118,  -4,  20,  0.00,  321,  0
2015010119,  -6,  26,  0.00,  8,  0
2015010120,  -7,  30,  0.00,  12,  0
2015010121,  -7,  30,  0.00,  54,  2
2015010122,  -6,  37,  0.00,  25,  4
2015010123     , 999999, 999999, 999999, 999999, 999999
2015010200,  -11,  40,  0.00,  15,  0
2015010201,  -9,  41,  0.00,  46,  3
2015010202,  -11,  43,  0.00,  24,  1
2015010203,  -12,  44,  0.00,  25,  1
2015010204,  -12,  45,  0.00,  23,  2
2015010205,  -11,  49,  0.00,  21,  3
2015010206,  -11,  49,  0.00,  21,  3
2015010207,  -11,  49,  0.00,  24,  4
2015010208,  -11,  50,  0.00,  46,  3
2015010209,  -12,  45,  0.00,  28,  1
2015010210,  -9,  36,  0.00,  76,  0
2015010211,  -6,  30,  0.00,  39,  0
2015010212,  -2,  25,  0.00,  80,  3
2015010213,  -1,  26,  0.00,  240,  4
2015010214,  -1,  28,  0.00,  231,  3
2015010215,  1,  24,  0.00,  236,  5
2015010216,  1,  25,  0.00,  240,  5
2015010217,  1,  26,  0.00,  231,  3
2015010218,  0,  29,  0.00,  210,  0
2015010219,  0,  28,  0.00,  167,  2
2015010220,  -3,  29,  0.00,  267,  0
2015010221,  -4,  34,  0.00,  0,  0
2015010222,  -3,  41,  0.00,  0,  0
2015010223     , 999999, 999999, 999999, 999999, 999999
2015010300,  -4,  45,  0.00,  5,  3
2015010301,  -5,  46,  0.00,  0,  0
2015010302,  -4,  46,  0.00,  44,  3
2015010303,  -5,  48,  0.00,  346,  2
2015010304,  -8,  49,  0.00,  3,  0
2015010305,  -6,  53,  0.00,  344,  0
2015010306,  -8,  50,  0.00,  19,  1
2015010307,  -9,  52,  0.00,  23,  1
2015010308,  -9,  56,  0.00,  25,  0
2015010309,  -7,  56,  0.00,  28,  3
