date,temp,rh,pop,wDir,wSpeed
2015010100, -13, 34, 0.00, 47, 0
2015010101, -18, 52, 0.00, 100, 0
2015010102, -19, 57, 0.00, 101, 2
2015010103, -20, 59, 0.00, 121, 2
2015010104, -20, 57, 0.00, 17, 2
2015010105, -22, 56, 0.00, 0, 0
2015010106, -21, 61, 0.00, 8, 0
2015010107, -23, 60, 0.00, 0, 0
2015010108, -22, 61, 0.00, 324, 0
2015010109, -15, 52, 0.00, 29, 2
2015010110, -13, 33, 0.00, 330, 0
2015010111, -7, 27, 0.00, 233, 3
2015010112, -4, 23, 0.00, 224, 5
2015010113, -2, 18, 0.00, 220, 6
2015010114, -2, 14, 0.00, 242, 5
2015010115, 1, 14, 0.00, 260, 7
2015010116, -1, 14, 0.00, 262, 5
2015010117, -3, 16, 0.00, 280, 9
2015010118, -2, 20, 0.00, 272, 7
2015010119, -6, 22, 0.00, 282, 2
2015010120, -11, 28, 0.00, 22, 1
2015010121, -13, 33, 0.00, 13, 0
2015010122, -15, 37, 0.00, 27, 0
2015010123     ,999999,999999,999999,999999,999999
2015010200, -15, 45, 0.00, 334, 2
2015010201, -15, 47, 0.00, 335, 3
2015010202, -12, 44, 0.00, 319, 4
2015010203, -15, 42, 0.00, 329, 3
2015010204, -10, 41, 0.00, 339, 6
2015010205, -12, 36, 0.00, 304, 1
2015010206, -11, 44, 0.00, 260, 4
2015010207, -13, 43, 0.00, 291, 3
2015010208, -13, 48, 0.00, 257, 2
2015010209, -11, 45, 0.00, 279, 2
2015010210, -7, 39, 0.00, 283, 3
2015010211, -4, 29, 0.00, 299, 2
2015010212, -1, 23, 0.00, 234, 3
2015010213, -2, 20, 0.00, 346, 0
2015010214, 1, 20, 0.00, 210, 3
2015010215, 1, 20, 0.00, 162, 2
2015010216, 1, 20, 0.00, 306, 2
2015010217, 0, 22, 0.00, 352, 0
2015010218, -6, 31, 0.00, 137, 2
2015010219, -11, 35, 0.00, 59, 0
2015010220, -11, 41, 0.00, 44, 2
2015010221, -12, 47, 0.00, 26, 0
2015010222, -12, 49, 0.00, 344, 2
2015010223     ,999999,999999,999999,999999,999999
2015010300, -7, 40, 0.00, 0, 0
2015010301, -5, 37, 0.00, 296, 2
2015010302, -5, 38, 0.00, 237, 0
2015010303, -5, 42, 0.00, 0, 0
2015010304, -5, 41, 0.00, 210, 0
2015010305, -5, 42, 0.00, 344, 2
2015010306, -7, 42, 0.00, 278, 1
2015010307, -8, 47, 0.00, 221, 4
2015010308, -4, 40, 0.00, 218, 3
2015010309, -6, 40, 0.00, 327, 0
2015010310, 0, 31, 0.00, 309, 4
2015010311, -1, 25, 0.00, 320, 2
2015010312, 1, 19, 0.00, 256, 5
2015010313, 3, 17, 0.00, 265, 3
2015010314, 4, 16, 0.00, 282, 5
2015010315, 6, 19, 0.00, 223, 4
2015010316, 5, 16, 0.00, 256, 1
2015010317, 2, 17, 0.00, 287, 1
2015010318, 1, 24, 0.00, 297, 3
2015010319, -2, 29, 0.00, 119, 2
2015010320, -4, 33, 0.00, 3, 3
2015010321, -6, 37, 0.00, 337, 3
2015010322, -9, 44, 0.00, 332, 0
2015010323     ,999999,999999,999999,999999,999999
2015010400, -4, 36, 0.00, 293, 6
2015010401, -4, 34, 0.00, 294, 6
2015010402, -6, 34, 0.00, 295, 4
2015010403, -6, 39, 0.00, 296, 4
2015010404, -6, 42, 0.00, 290, 4
2015010405, -5, 39, 0.00, 289, 5
2015010406, -11, 47, 0.00, 323, 0
2015010407, -11, 54, 0.00, 353, 2
2015010408, -11, 50, 0.00, 327, 2
2015010409, -7, 47, 0.00, 300, 0
2015010410, -3, 36, 0.00, 257, 2
2015010411, -1, 26, 0.00, 103, 0
2015010412, 1, 26, 0.00, 283, 3
2015010413, 1, 21, 0.00, 158, 0
2015010414, 5, 20, 0.00, 156, 2
2015010415, 3, 17, 0.00, 205, 0
2015010416, 3, 18, 0.00, 187, 0
2015010417, 2, 25, 0.00, 164, 2
2015010418, 0, 30, 0.00, 0, 0
2015010419, -3, 31, 0.00, 157, 0
2015010420, -1, 32, 0.00, 0, 0
2015010421, -1, 35, 0.00, 47, 2
2015010422, -3, 34, 0.00, 0, 0
2015010423     ,999999,999999,999999,999999,999999
2015010500, -3, 37, 0.00, 2, 0
2015010501, -1, 38, 0.00, 0, 0
2015010502, -1, 38, 0.00, 168, 3
2015010503, -4, 37, 0.00, 316, 1
2015010504, -2, 34, 0.00, 331, 0
2015010505, 0, 50, 0.00, 301, 6
2015010506, -1, 25, 0.00, 317, 5
2015010507, 1, 31, 0.00, 342, 10
2015010508, -2, 31, 0.00, 343, 6
2015010509, 0, 37, 0.00, 345, 9
2015010510, 0, 34, 0.00, 350, 12
2015010511, -3, 37, 0.00, 6, 10
2015010512, -3, 38, 0.00, 343, 13
2015010513, -1, 40, 0.00, 353, 12
2015010514, -1, 38, 0.00, 357, 11
2015010515, -3, 35, 0.00, 14, 11
2015010516, -4, 31, 0.00, 357, 10
2015010517, -4, 36, 0.00, 1, 11
2015010518, -7, 34, 0.00, 25, 11
2015010519, -6, 31, 0.00, 12, 8
2015010520, -9, 29, 0.00, 23, 5
2015010521, -8, 41, 0.00, 32, 4
2015010522, -11, 45, 0.00, 268, 1
2015010523     ,999999,999999,999999,999999,999999
2015010600, -13, 48, 0.00, 288, 1
2015010601, -13, 53, 0.00, 285, 0
2015010602, -12, 58, 0.00, 299, 4
2015010603, -14, 56, 0.00, 301, 1
2015010604, -12, 61, 0.00, 292, 4
