date,temp,rh,pop,wDir,wSpeed
2015010100, -9, 28, 0.00, 242, 1
2015010101, -9, 28, 0.00, 199, 1
2015010102, -10, 33, 0.00, 195, 4
2015010103, -11, 31, 0.00, 207, 1
2015010104, -11, 43, 0.00, 69, 2
2015010105, -13, 42, 0.00, 235, 0
2015010106, -15, 47, 0.00, 79, 0
2015010107, -13, 47, 0.00, 84, 2
2015010108, -16, 49, 0.00, 30, 0
2015010109, -10, 44, 0.00, 71, 0
2015010110, -6, 31, 0.00, 123, 2
2015010111, -3, 25, 0.00, 207, 4
2015010112, -1, 21, 0.00, 234, 6
2015010113, 1, 17, 0.00, 243, 4
2015010114, 2, 15, 0.00, 231, 7
2015010115, 1, 12, 0.00, 233, 4
2015010116, 2, 11, 0.00, 215, 1
2015010117, 3, 15, 0.00, 287, 0
2015010118, -2, 19, 0.00, 233, 0
2015010119, -4, 25, 0.00, 0, 0
2015010120, -3, 20, 0.00, 191, 0
2015010121, -5, 19, 0.00, 230, 0
2015010122, -7, 28, 0.00, 22, 0
2015010123     ,999999,999999,999999,999999,999999
2015010200, -7, 36, 0.00, 208, 2
2015010201, -10, 37, 0.00, 106, 0
2015010202, -8, 36, 0.00, 280, 0
2015010203, -10, 42, 0.00, 108, 0
2015010204, -10, 47, 0.00, 342, 2
2015010205, -11, 46, 0.00, 48, 2
2015010206, -10, 44, 0.00, 64, 2
2015010207, -12, 43, 0.00, 345, 0
2015010208, -11, 48, 0.00, 54, 3
2015010209, -8, 39, 0.00, 97, 2
2015010210, -5, 31, 0.00, 12, 2
2015010211, -1, 24, 0.00, 347, 0
2015010212, -1, 19, 0.00, 277, 1
2015010213, 1, 15, 0.00, 7, 0
2015010214, 2, 14, 0.00, 159, 0
2015010215, 4, 18, 0.00, 250, 4
2015010216, 4, 18, 0.00, 222, 3
2015010217, 0, 18, 0.00, 208, 1
2015010218, 1, 23, 0.00, 215, 3
2015010219, -1, 25, 0.00, 183, 0
2015010220, -2, 30, 0.00, 142, 2
2015010221, -3, 32, 0.00, 183, 0
2015010222, -3, 42, 0.00, 167, 0
2015010223     ,999999,999999,999999,999999,999999
2015010300, -7, 39, 0.00, 90, 0
2015010301, -6, 47, 0.00, 75, 3
2015010302, -9, 42, 0.00, 99, 0
2015010303, -7, 51, 0.00, 353, 2
2015010304, -10, 49, 0.00, 38, 0
2015010305, -7, 53, 0.00, 67, 0
2015010306, -9, 43, 0.00, 22, 0
2015010307, -8, 47, 0.00, 4, 2
2015010308, -11, 50, 0.00, 220, 0
2015010309, -9, 50, 0.00, 44, 0
2015010310, -4, 35, 0.00, 47, 0
2015010311, 1, 30, 0.00, 67, 2
2015010312, 3, 25, 0.00, 220, 4
2015010313, 3, 22, 0.00, 208, 1
2015010314, 6, 20, 0.00, 185, 2
2015010315, 9, 21, 0.00, 192, 2
2015010316, 7, 19, 0.00, 214, 0
2015010317, 7, 26, 0.00, 52, 2
2015010318, 1, 28, 0.00, 75, 0
2015010319, 1, 39, 0.00, 334, 3
2015010320, 0, 39, 0.00, 15, 3
2015010321, -3, 39, 0.00, 92, 0
2015010322, -3, 46, 0.00, 63, 3
2015010323     ,999999,999999,999999,999999,999999
2015010400, -3, 45, 0.00, 41, 3
2015010401, -6, 46, 0.00, 0, 0
2015010402, -6, 45, 0.00, 76, 1
2015010403, -8, 49, 0.00, 41, 0
2015010404, -8, 47, 0.00, 51, 0
2015010405, -7, 54, 0.00, 56, 3
2015010406, -7, 46, 0.00, 81, 1
2015010407, -7, 45, 0.00, 72, 1
2015010408, -7, 53, 0.00, 89, 3
2015010409, -4, 45, 0.00, 72, 5
2015010410, -2, 35, 0.00, 31, 2
2015010411, 4, 29, 0.00, 7, 3
2015010412, 7, 22, 0.00, 19, 4
2015010413, 9, 19, 0.00, 357, 3
2015010414, 9, 19, 0.00, 3, 4
2015010415, 8, 16, 0.00, 3, 1
2015010416, 10, 19, 0.00, 265, 2
2015010417, 5, 24, 0.00, 250, 1
2015010418, 3, 27, 0.00, 96, 0
2015010419, 2, 34, 0.00, 85, 0
2015010420, 4, 33, 0.00, 348, 3
2015010421, 0, 34, 0.00, 43, 0
2015010422, 1, 31, 0.00, 21, 0
2015010423     ,999999,999999,999999,999999,999999
2015010500, 4, 31, 0.00, 267, 3
2015010501, 1, 35, 0.00, 182, 0
2015010502, 3, 37, 0.00, 238, 2
2015010503, 3, 38, 0.00, 202, 2
2015010504, 0, 40, 0.00, 148, 0
2015010505, 2, 44, 0.00, 86, 2
2015010506, 1, 45, 0.00, 257, 2
2015010507, 1, 45, 0.00, 0, 0
2015010508, -1, 44, 0.00, 0, 0
2015010509, 1, 45, 0.00, 16, 2
2015010510, 3, 37, 0.00, 344, 2
2015010511, 6, 31, 0.00, 252, 2
2015010512, 8, 22, 0.00, 9, 7
2015010513, 8, 24, 0.00, 18, 10
2015010514, 8, 24, 0.00, 25, 8
2015010515, 6, 19, 0.00, 8, 10
2015010516, 7, 23, 0.00, 10, 10
2015010517, 6, 24, 0.00, 350, 7
2015010518, 5, 26, 0.00, 12, 8
2015010519, 3, 27, 0.00, 9, 7
2015010520, 1, 26, 0.00, 2, 9
2015010521, 0, 27, 0.00, 6, 9
2015010522, 1, 31, 0.00, 9, 9
2015010523     ,999999,999999,999999,999999,999999
2015010600, 0, 33, 0.00, 356, 6
2015010601, -2, 36, 0.00, 33, 3
2015010602, -4, 40, 0.00, 45, 3
2015010603, -6, 38, 0.00, 56, 1
2015010604, -7, 40, 0.00, 6, 1
2015010605, -7, 41, 0.00, 337, 1
2015010606, -5, 43, 0.00, 11, 0
2015010607, -7, 51, 0.00, 158, 2
2015010608, -8, 66, 0.00, 263, 2
2015010609, -8, 50, 0.00, 103, 1
2015010610, -4, 37, 0.00, 85, 0
2015010611, 0, 31, 0.00, 190, 2
2015010612, 1, 29, 0.00, 317, 3
2015010613, 1, 30, 0.00, 281, 4
2015010614, 1, 29, 0.00, 252, 4
2015010615, 2, 27, 0.00, 251, 3
2015010616, 0, 25, 0.00, 214, 2
2015010617, -1, 27, 0.00, 235, 1
2015010618, 1, 36, 0.00, 221, 2
2015010619, -1, 42, 0.00, 186, 0
2015010620, -1, 45, 0.00, 227, 0
2015010621, -4, 42, 0.00, 163, 0
2015010622, -2, 43, 0.00, 78, 0
2015010623     ,999999,999999,999999,999999,999999
2015010700, -6, 47, 0.00, 65, 0
2015010701, -6, 46, 0.00, 93, 0
2015010702, -4, 47, 0.00, 82, 2
2015010703, -4, 44, 0.00, 75, 2
2015010704, -6, 45, 0.00, 83, 0
2015010705, -7, 46, 0.00, 65, 0
2015010706, -5, 51, 0.00, 0, 0
2015010707, -8, 58, 0.00, 126, 0
2015010708, -7, 62, 0.00, 0, 0
2015010709, -6, 59, 0.00, 56, 2
2015010710, -2, 43, 0.00, 142, 2
2015010711, -1, 32, 0.00, 168, 0
2015010712, 0, 26, 0.00, 205, 0
2015010713, 3, 27, 0.00, 202, 3
2015010714, 4, 22, 0.00, 232, 4
2015010715, 3, 20, 0.00, 229, 1
2015010716, 5, 19, 0.00, 198, 2
2015010717, 2, 20, 0.00, 218, 0
2015010718, -1, 29, 0.00, 96, 0
2015010719, -3, 31, 0.00, 111, 0
2015010720, -1, 38, 0.00, 242, 0
2015010721, -4, 39, 0.00, 103, 2
2015010722, -4, 33, 0.00, 254, 2
2015010723     ,999999,999999,999999,999999,999999
2015010800, -6, 39, 0.00, 79, 0
2015010801, -8, 44, 0.00, 100, 0
2015010802, -9, 45, 0.00, 59, 0
2015010803, -8, 50, 0.00, 111, 0
2015010804, -10, 48, 0.00, 106, 1
2015010805, -8, 55, 0.00, 4, 2
2015010806, -9, 59, 0.00, 94, 2
2015010807, -11, 56, 0.00, 108, 0
2015010808, -9, 56, 0.00, 7, 3
2015010809, -7, 52, 0.00, 0, 0
2015010810, -3, 36, 0.00, 102, 0
2015010811, -1, 31, 0.00, 248, 1
2015010812, 2, 27, 0.00, 256, 1
2015010813, 4, 24, 0.00, 202, 4
2015010814, 7, 25, 0.00, 195, 5
2015010815, 6, 21, 0.00, 204, 2
2015010816, 9, 23, 0.00, 266, 3
2015010817, 7, 25, 0.00, 324, 2
2015010818, 1, 33, 0.00, 149, 0
2015010819, 0, 57, 0.00, 191, 0
2015010820, 1, 49, 0.00, 200, 3
2015010821, -1, 39, 0.00, 200, 0
2015010822, -1, 43, 0.00, 218, 0
2015010823     ,999999,999999,999999,999999,999999
2015010900, -2, 52, 0.00, 150, 2
2015010901, -4, 60, 0.00, 354, 2
2015010902, -7, 57, 0.00, 117, 0
2015010903, -8, 60, 0.00, 109, 1
2015010904, -8, 62, 0.00, 62, 0
2015010905, -8, 67, 0.00, 100, 0
2015010906, -9, 64, 0.00, 121, 0
2015010907, -7, 68, 0.00, 107, 0
2015010908, -8, 69, 0.00, 44, 2
2015010909, -7, 59, 0.00, 68, 1
2015010910, -1, 49, 0.00, 98, 3
2015010911, 1, 37, 0.00, 172, 0
2015010912, 5, 33, 0.00, 139, 2
2015010913, 5, 28, 0.00, 218, 1
2015010914, 5, 28, 0.00, 215, 1
2015010915, 8, 27, 0.00, 209, 4
2015010916, 8, 30, 0.00, 227, 3
2015010917, 7, 28, 0.00, 277, 0
2015010918, 1, 37, 0.00, 0, 0
2015010919, 1, 46, 0.00, 210, 0
2015010920, 2, 39, 0.00, 305, 3
2015010921, -2, 47, 0.00, 158, 1
2015010922, -4, 50, 0.00, 180, 0
2015010923     ,999999,999999,999999,999999,999999
2015011000, -4, 68, 0.00, 169, 2
2015011001, -6, 64, 0.00, 125, 2
2015011002, -9, 70, 0.00, 126, 0
2015011003, -8, 64, 0.00, 95, 2
2015011004, -10, 68, 0.00, 60, 0
2015011005, -9, 70, 0.00, 58, 2
2015011006, -9, 69, 0.00, 42, 2
2015011007, -10, 71, 0.00, 56, 2
2015011008, -10, 72, 0.00, 90, 0
2015011009, -8, 60, 0.00, 128, 0
2015011010, -4, 46, 0.00, 154, 0
2015011011, -1, 41, 0.00, 213, 0
2015011012, 3, 36, 0.00, 316, 2
2015011013, 4, 28, 0.00, 236, 1
2015011014, 5, 25, 0.00, 223, 1
2015011015, 7, 23, 0.00, 213, 1
2015011016, 10, 26, 0.00, 231, 3
2015011017, 9, 27, 0.00, 239, 2
2015011018, 4, 35, 0.00, 0, 2
2015011019, 1, 41, 0.00, 0, 0
2015011020, -1, 48, 0.00, 291, 0
2015011021, -4, 50, 0.00, 75, 0
2015011022, -4, 53, 0.00, 98, 0
2015011023     ,999999,999999,999999,999999,999999
2015011100, -4, 62, 0.00, 323, 2
2015011101, -6, 59, 0.00, 30, 2
2015011102, -9, 62, 0.00, 30, 1
2015011103, -6, 58, 0.00, 51, 2
2015011104, -6, 60, 0.00, 61, 2
2015011105, -6, 62, 0.00, 75, 3
2015011106, -6, 58, 0.00, 48, 2
2015011107, -7, 60, 0.00, 39, 2
2015011108, -7, 59, 0.00, 47, 2
2015011109, -6, 50, 0.00, 148, 0
2015011110, -1, 44, 0.00, 58, 3
2015011111, 2, 33, 0.00, 58, 4
2015011112, 5, 27, 0.00, 13, 4
2015011113, 5, 22, 0.00, 13, 1
2015011114, 10, 19, 0.00, 351, 0
2015011115, 8, 18, 0.00, 208, 0
2015011116, 8, 16, 0.00, 182, 0
2015011117, 7, 23, 0.00, 239, 0
2015011118, 5, 32, 0.00, 231, 0
2015011119, 2, 38, 0.00, 0, 0
2015011120, -2, 35, 0.00, 79, 1
2015011121, 0, 38, 0.00, 83, 3
2015011122, -1, 38, 0.00, 63, 4
2015011123     ,999999,999999,999999,999999,999999
2015011200, -4, 43, 0.00, 42, 3
2015011201, -4, 45, 0.00, 55, 2
2015011202, -6, 49, 0.00, 55, 2
2015011203, -4, 52, 0.00, 60, 5
2015011204, -6, 52, 0.00, 45, 2
2015011205, -7, 55, 0.00, 48, 1
2015011206, -5, 58, 0.00, 60, 3
2015011207, -7, 56, 0.00, 55, 2
2015011208, -8, 59, 0.00, 55, 2
2015011209, -5, 59, 0.00, 50, 4
2015011210, -4, 51, 0.00, 48, 1
2015011211, -1, 40, 0.00, 24, 1
2015011212, 1, 33, 0.00, 49, 3
2015011213, 3, 32, 0.00, 131, 0
2015011214, 5, 36, 0.00, 111, 3
2015011215, 4, 32, 0.00, 145, 0
2015011216, 3, 31, 0.00, 142, 2
2015011217, 2, 35, 0.00, 0, 0
2015011218, 2, 44, 0.00, 151, 0
2015011219, 2, 57, 0.00, 136, 2
2015011220, 0, 64, 0.00, 88, 0
2015011221, 0, 51, 0.00, 62, 4
2015011222, 0, 52, 0.00, 55, 4
2015011223     ,999999,999999,999999,999999,999999
2015011300, -4, 56, 0.00, 22, 1
2015011301, -4, 59, 0.00, 15, 1
2015011302, -4, 61, 0.00, 15, 0
2015011303, -6, 66, 0.00, 46, 1
2015011304, -7, 64, 0.00, 32, 1
2015011305, -5, 67, 0.00, 6, 3
2015011306, -5, 67, 0.00, 39, 4
2015011307, -8, 65, 0.00, 33, 2
2015011308, -5, 67, 0.00, 27, 5
2015011309, -6, 63, 0.00, 59, 1
2015011310, -1, 59, 0.00, 43, 3
2015011311, -1, 48, 0.00, 13, 1
2015011312, 3, 40, 0.00, 24, 2
2015011313, 5, 38, 0.00, 281, 3
2015011314, 6, 38, 0.00, 231, 2
2015011315, 4, 36, 0.00, 312, 1
2015011316, 4, 38, 0.00, 244, 1
2015011317, 4, 43, 0.00, 259, 2
2015011318, 0, 52, 0.00, 185, 0
2015011319, 1, 57, 0.00, 208, 2
2015011320, 0, 61, 0.00, 112, 2
2015011321, -2, 64, 0.00, 74, 3
2015011322, -1, 49, 0.00, 103, 4
2015011323     ,999999,999999,999999,999999,999999
2015011400, -1, 49, 0.00, 87, 3
2015011401, -1, 51, 0.00, 86, 2
2015011402, -1, 52, 0.00, 114, 2
2015011403, -2, 57, 0.00, 111, 2
2015011404, -6, 59, 0.00, 140, 0
2015011405, -4, 59, 0.00, 105, 2
2015011406, -5, 62, 0.00, 16, 2
2015011407, -8, 64, 0.00, 99, 0
2015011408, -8, 64, 0.00, 106, 0
2015011409, -6, 64, 0.00, 59, 2
2015011410, -3, 59, 0.00, 73, 0
2015011411, 1, 52, 0.00, 177, 2
2015011412, 2, 50, 0.00, 233, 3
2015011413, 4, 44, 0.00, 204, 3
2015011414, 5, 40, 0.00, 183, 0
2015011415, 6, 40, 0.00, 226, 2
2015011416, 5, 42, 0.00, 310, 0
2015011417, 1, 44, 0.00, 12, 0
2015011418, -1, 50, 0.00, 19, 0
2015011419, 1, 56, 0.00, 21, 2
2015011420, -2, 58, 0.00, 57, 0
2015011421, -3, 60, 0.00, 80, 0
2015011422, -2, 69, 0.00, 71, 0
2015011423     ,999999,999999,999999,999999,999999
2015011500, -6, 73, 0.00, 89, 0
2015011501, -7, 73, 0.00, 79, 0
2015011502, -8, 76, 0.00, 81, 0
2015011503, -8, 76, 0.00, 75, 0
2015011504, -9, 77, 0.00, 87, 0
2015011505, -7, 76, 0.00, 49, 2
2015011506, -7, 80, 0.00, 98, 0
2015011507, -8, 80, 0.00, 95, 2
2015011508, -10, 81, 0.00, 2, 0
2015011509, -8, 73, 0.00, 100, 0
2015011510, -6, 68, 0.00, 130, 0
2015011511, -3, 62, 0.00, 61, 0
2015011512, -1, 52, 0.00, 135, 0
2015011513, 1, 52, 0.00, 234, 2
2015011514, 3, 47, 0.00, 222, 2
2015011515, 1, 44, 0.00, 323, 0
2015011516, 4, 47, 0.00, 183, 3
2015011517, 3, 47, 0.00, 301, 2
2015011518, 1, 56, 0.00, 282, 2
2015011519, -1, 63, 0.00, 236, 1
2015011520, -2, 72, 0.00, 313, 0
2015011521, -4, 69, 0.00, 150, 0
2015011522, -4, 69, 0.00, 234, 0
2015011523     ,999999,999999,999999,999999,999999
2015011600, -3, 58, 0.00, 222, 0
2015011601, -5, 64, 0.00, 247, 0
2015011602, -2, 61, 0.00, 274, 3
2015011603, -2, 47, 0.00, 290, 1
2015011604, -1, 55, 0.00, 286, 4
2015011605, -2, 59, 0.00, 269, 3
2015011606, -5, 64, 0.00, 242, 2
2015011607, -4, 62, 0.00, 280, 2
2015011608, -5, 49, 0.00, 83, 0
2015011609, -4, 47, 0.00, 355, 1
2015011610, -1, 37, 0.00, 12, 2
2015011611, 1, 36, 0.00, 18, 6
2015011612, 0, 29, 0.00, 114, 1
2015011613, 3, 29, 0.00, 89, 4
2015011614, 2, 22, 0.00, 213, 0
2015011615, 2, 22, 0.00, 155, 0
2015011616, 4, 24, 0.00, 24, 3
2015011617, 3, 25, 0.00, 32, 2
2015011618, -1, 30, 0.00, 101, 0
2015011619, -2, 29, 0.00, 1, 2
2015011620, -2, 36, 0.00, 18, 2
2015011621, -3, 41, 0.00, 24, 2
2015011622, -4, 42, 0.00, 50, 2
2015011623     ,999999,999999,999999,999999,999999
2015011700, -9, 50, 0.00, 50, 1
2015011701, -10, 54, 0.00, 129, 0
2015011702, -8, 54, 0.00, 80, 2
2015011703, -9, 60, 0.00, 61, 2
2015011704, -10, 59, 0.00, 85, 2
2015011705, -10, 62, 0.00, 92, 2
2015011706, -11, 64, 0.00, 88, 2
2015011707, -11, 64, 0.00, 82, 2
2015011708, -13, 65, 0.00, 97, 0
2015011709, -9, 59, 0.00, 0, 0
2015011710, -5, 43, 0.00, 126, 0
2015011711, -2, 43, 0.00, 205, 2
2015011712, -3, 37, 0.00, 225, 0
2015011713, -1, 33, 0.00, 212, 1
2015011714, 0, 28, 0.00, 229, 1
2015011715, 3, 29, 0.00, 231, 2
2015011716, 3, 27, 0.00, 256, 2
2015011717, 3, 34, 0.00, 212, 2
2015011718, 2, 32, 0.00, 196, 2
2015011719, -1, 33, 0.00, 158, 0
2015011720, 1, 39, 0.00, 0, 0
2015011721, -1, 43, 0.00, 191, 0
2015011722, 1, 42, 0.00, 223, 2
2015011723     ,999999,999999,999999,999999,999999
2015011800, -1, 45, 0.00, 205, 1
2015011801, 1, 64, 0.00, 231, 5
2015011802, 0, 68, 0.00, 227, 7
2015011803, 0, 70, 0.00, 224, 4
2015011804, -1, 71, 0.00, 233, 5
2015011805, -3, 70, 0.00, 239, 2
2015011806, -2, 71, 0.00, 212, 3
2015011807, -2, 75, 0.00, 201, 4
2015011808, -3, 76, 0.00, 166, 3
2015011809, -2, 74, 0.00, 124, 3
2015011810, 1, 57, 0.00, 247, 5
2015011811, 0, 33, 0.00, 279, 6
2015011812, 1, 29, 0.00, 295, 8
2015011813, 3, 28, 0.00, 305, 9
2015011814, 3, 24, 0.00, 308, 12
2015011815, 1, 24, 0.00, 312, 7
2015011816, 3, 29, 0.00, 279, 8
2015011817, 3, 30, 0.00, 283, 10
2015011818, 0, 29, 0.00, 273, 2
2015011819, -1, 29, 0.00, 268, 2
2015011820, -2, 42, 0.00, 202, 0
2015011821, -1, 50, 0.00, 223, 2
2015011822, -3, 40, 0.00, 256, 2
2015011823     ,999999,999999,999999,999999,999999
2015011900, -3, 53, 0.00, 200, 2
2015011901, -5, 52, 0.00, 139, 2
2015011902, -6, 49, 0.00, 167, 0
2015011903, -9, 56, 0.00, 102, 0
2015011904, -9, 56, 0.00, 34, 0
2015011905, -8, 61, 0.00, 80, 0
2015011906, -9, 64, 0.00, 97, 2
2015011907, 999999, 999999, 999999, 999999, 999999
2015011908, -9, 67, 0.00, 999999, 999999
2015011909, -6, 57, 0.00, 59, 0
2015011910, -1, 42, 0.00, 48, 2
2015011911, 1, 32, 0.00, 34, 2
2015011912, 1, 26, 0.00, 212, 0
2015011913, 3, 25, 0.00, 228, 2
2015011914, 4, 23, 0.00, 236, 1
2015011915, 6, 18, 0.00, 212, 1
2015011916, 7, 16, 0.00, 125, 0
2015011917, 6, 17, 0.00, 274, 0
2015011918, 2, 25, 0.00, 117, 0
2015011919, 0, 29, 0.00, 113, 0
2015011920, 1, 32, 0.00, 10, 2
2015011921, 0, 36, 0.00, 43, 3
2015011922, -1, 43, 0.00, 322, 0
2015011923     ,999999,999999,999999,999999,999999
2015012000, -2, 36, 0.00, 43, 2
2015012001, -4, 36, 0.00, 30, 1
2015012002, -5, 38, 0.00, 28, 1
2015012003, -5, 40, 0.00, 65, 1
2015012004, -3, 42, 0.00, 39, 3
2015012005, -4, 44, 0.00, 53, 2
2015012006, -4, 45, 0.00, 91, 0
2015012007, -5, 43, 0.00, 95, 0
2015012008, -5, 43, 0.00, 358, 0
2015012009, -5, 43, 0.00, 50, 0
2015012010, -3, 40, 0.00, 161, 0
2015012011, 1, 38, 0.00, 269, 2
2015012012, 5, 31, 0.00, 226, 2
2015012013, 5, 25, 0.00, 176, 0
2015012014, 7, 23, 0.00, 234, 1
2015012015, 7, 24, 0.00, 310, 0
2015012016, 7, 22, 0.00, 281, 2
2015012017, 6, 19, 0.00, 292, 4
2015012018, 7, 23, 0.00, 299, 8
2015012019, 6, 23, 0.00, 315, 7
2015012020, 3, 24, 0.00, 316, 3
2015012021, 4, 28, 0.00, 284, 6
2015012022, 3, 29, 0.00, 300, 4
2015012023     ,999999,999999,999999,999999,999999
2015012100, -1, 32, 0.00, 7, 0
2015012101, 0, 38, 0.00, 20, 2
2015012102, -4, 43, 0.00, 0, 0
2015012103, -3, 49, 0.00, 350, 3
2015012104, -2, 47, 0.00, 331, 3
2015012105, -2, 49, 0.00, 19, 3
2015012106, -4, 55, 0.00, 69, 4
2015012107, -4, 49, 999999, 999999, 999999
2015012108, -6, 56, 0.00, 999999, 999999
2015012109, 999999, 999999, 999999, 999999, 999999
2015012110, 1, 37, 0.00, 75, 3
2015012111, -1, 31, 0.00, 83, 1
2015012112, 0, 25, 0.00, 244, 1
2015012113, 0, 23, 0.00, 194, 1
2015012114, 3, 22, 0.00, 246, 2
2015012115, 2, 13, 999999, 0, 0
2015012116, 4, 20, 0.00, 223, 2
2015012117, 3, 24, 0.00, 187, 2
2015012118, 1, 29, 0.00, 171, 2
2015012119, -3, 32, 0.00, 117, 0
2015012120, -3, 44, 0.00, 130, 2
2015012121, -3, 37, 0.00, 0, 0
2015012122, -4, 35, 0.00, 91, 2
2015012123     ,999999,999999,999999,999999,999999
2015012200, -8, 36, 0.00, 92, 0
2015012201, -10, 40, 0.00, 76, 0
2015012202, -10, 42, 0.00, 26, 0
2015012203, -9, 44, 0.00, 97, 3
2015012204, -11, 44, 0.00, 75, 0
2015012205, -12, 45, 0.00, 24, 0
2015012206, -12, 47, 0.00, 106, 0
2015012207, -11, 51, 0.00, 86, 3
2015012208, -14, 52, 0.00, 51, 0
2015012209, -10, 46, 0.00, 72, 0
2015012210, -4, 37, 0.00, 121, 2
2015012211, -4, 35, 0.00, 195, 1
2015012212, -2, 28, 0.00, 231, 1
2015012213, 1, 25, 0.00, 238, 3
2015012214, 1, 18, 0.00, 254, 1
2015012215, 5, 20, 0.00, 258, 3
