date,temp,rh,pop,wDir,wSpeed
2015010100, -11, 32, 999999, 164, 2
2015010101, -12, 32, 999999, 227, 2
2015010102, -11, 32, 999999, 235, 3
2015010103, -15, 33, 999999, 218, 0
2015010104, -13, 37, 999999, 250, 3
2015010105, -14, 31, 999999, 0, 0
2015010106, -16, 36, 999999, 244, 1
2015010107, -14, 30, 999999, 220, 0
2015010108, -13, 36, 999999, 230, 3
2015010109, -10, 26, 999999, 250, 2
2015010110, -4, 22, 999999, 186, 3
2015010111, -5, 16, 999999, 139, 2
2015010112, -3, 13, 999999, 108, 1
2015010113, -1, 11, 999999, 0, 0
2015010114, 1, 15, 999999, 69, 3
2015010115, -1, 12, 999999, 151, 0
2015010116, 1, 14, 999999, 23, 2
2015010117, 0, 17, 999999, 0, 0
2015010118, -4, 17, 999999, 0, 0
2015010119, -6, 25, 999999, 267, 2
2015010120, -6, 24, 999999, 248, 3
2015010121, -8, 26, 999999, 253, 3
2015010122, -9, 23, 999999, 219, 1
2015010123     ,999999,999999,999999,999999,999999
2015010200, -10, 27, 999999, 76, 0
2015010201, -10, 26, 999999, 298, 1
2015010202, -11, 29, 999999, 272, 2
2015010203, -11, 28, 999999, 298, 1
2015010204, -8, 28, 999999, 313, 3
2015010205, -11, 28, 999999, 247, 0
2015010206, -11, 31, 999999, 253, 2
2015010207, -9, 34, 999999, 180, 3
2015010208, -8, 30, 999999, 287, 2
2015010209, -9, 34, 999999, 15, 0
2015010210, -6, 27, 999999, 340, 0
2015010211, -2, 25, 999999, 0, 0
2015010212, -1, 19, 999999, 64, 0
2015010213, 0, 14, 999999, 115, 0
2015010214, 1, 14, 999999, 39, 1
2015010215, 1, 15, 999999, 0, 0
2015010216, 2, 18, 999999, 0, 0
2015010217, 0, 17, 999999, 0, 0
2015010218, -1, 19, 999999, 0, 0
2015010219, -1, 25, 999999, 253, 3
2015010220, -4, 25, 999999, 188, 0
2015010221, -4, 30, 999999, 278, 3
2015010222, -6, 27, 999999, 297, 1
2015010223     ,999999,999999,999999,999999,999999
2015010300, -6, 33, 999999, 266, 3
2015010301, -8, 33, 999999, 278, 0
2015010302, -6, 35, 999999, 0, 0
2015010303, -7, 32, 999999, 14, 1
2015010304, -8, 41, 999999, 307, 2
2015010305, -9, 36, 999999, 294, 0
2015010306, -6, 35, 999999, 319, 2
2015010307, -11, 41, 999999, 289, 2
2015010308, -10, 47, 999999, 280, 2
2015010309, -7, 46, 999999, 313, 2
2015010310, -3, 32, 999999, 342, 2
2015010311, 1, 27, 999999, 75, 0
2015010312, -1, 25, 999999, 13, 0
2015010313, 1, 26, 999999, 48, 2
2015010314, 1, 21, 999999, 43, 0
2015010315, 3, 22, 999999, 29, 2
2015010316, 4, 21, 999999, 0, 0
2015010317, 2, 24, 999999, 242, 3
2015010318, -2, 26, 999999, 253, 1
2015010319, -1, 30, 999999, 215, 2
2015010320, -4, 31, 999999, 241, 0
2015010321, -4, 37, 999999, 327, 2
2015010322, -3, 36, 999999, 216, 2
2015010323     ,999999,999999,999999,999999,999999
2015010400, -5, 35, 999999, 26, 0
2015010401, -5, 41, 999999, 262, 3
2015010402, -7, 48, 999999, 305, 2
2015010403, -7, 49, 999999, 278, 3
2015010404, -10, 48, 999999, 255, 1
2015010405, -7, 50, 999999, 183, 2
2015010406, -9, 47, 999999, 326, 2
2015010407, -9, 46, 999999, 0, 0
2015010408, -9, 56, 999999, 0, 0
2015010409, -7, 56, 999999, 276, 2
2015010410, -4, 36, 999999, 15, 0
2015010411, 0, 33, 999999, 0, 0
2015010412, 1, 28, 999999, 24, 0
2015010413, 0, 25, 999999, 38, 0
2015010414, 4, 26, 999999, 53, 2
2015010415, 3, 26, 999999, 4, 2
