date,temp,rh,pop,wDir,wSpeed
2015010100,  -9,  25,  999999,  84,  2
2015010101,  -8,  25,  999999,  271,  4
2015010102,  -9,  21,  999999,  0,  0
2015010103,  -7,  24,  999999,  281,  3
2015010104,  -7,  25,  999999,  271,  2
2015010105,  -9,  28,  999999,  0,  0
2015010106,  -14,  34,  999999,  126,  0
2015010107,  -13,  41,  999999,  112,  0
2015010108,  -14,  43,  999999,  129,  0
2015010109,  -12,  38,  999999,  104,  0
2015010110,  -8,  24,  999999,  112,  0
2015010111,  -5,  16,  999999,  242,  1
2015010112,  -1,  16,  999999,  269,  3
2015010113,  1,  13,  999999,  250,  4
2015010114,  -1,  9,  999999,  264,  2
2015010115,  3,  11,  999999,  271,  2
2015010116,  3,  10,  999999,  248,  2
2015010117,  1,  8,  999999,  271,  0
2015010118,  1,  13,  999999,  8,  0
2015010119,  -2,  15,  999999,  98,  0
2015010120,  -3,  16,  999999,  109,  0
2015010121,  -7,  19,  999999,  106,  0
2015010122,  -7,  17,  999999,  97,  0
2015010123     , 999999, 999999, 999999, 999999, 999999
2015010200,  -6,  26,  999999,  92,  0
2015010201,  -8,  28,  999999,  106,  0
2015010202,  -8,  26,  999999,  102,  2
2015010203,  -12,  28,  999999,  126,  0
2015010204,  -12,  29,  999999,  103,  1
2015010205,  -10,  32,  999999,  90,  0
2015010206,  -12,  30,  999999,  119,  0
2015010207,  -12,  30,  999999,  106,  1
2015010208,  -11,  34,  999999,  114,  2
2015010209,  -11,  29,  999999,  118,  0
2015010210,  -4,  23,  999999,  119,  2
2015010211,  -1,  13,  999999,  123,  0
2015010212,  0,  11,  999999,  284,  0
2015010213,  4,  13,  999999,  357,  0
2015010214,  6,  11,  999999,  129,  0
2015010215,  5,  12,  999999,  235,  3
2015010216,  2,  12,  999999,  230,  0
2015010217,  1,  13,  999999,  269,  0
2015010218,  2,  15,  999999,  273,  2
2015010219,  1,  17,  999999,  194,  0
2015010220,  -3,  20,  999999,  123,  0
2015010221,  -4,  22,  999999,  137,  0
2015010222,  -6,  26,  999999,  113,  0
2015010223     , 999999, 999999, 999999, 999999, 999999
2015010300,  -6,  30,  999999,  98,  2
