date,temp,rh,pop,wDir,wSpeed
2015010100,  -3,  18,  0.00,  343,  6
2015010101,  -4,  17,  0.00,  0,  2
2015010102,  -6,  16,  0.00,  332,  1
2015010103,  -6,  16,  0.00,  303,  2
2015010104,  -8,  19,  0.00,  20,  2
2015010105,  -9,  25,  0.00,  77,  0
2015010106,  -9,  26,  0.00,  6,  1
2015010107,  -8,  31,  0.00,  343,  3
2015010108,  -7,  31,  0.00,  71,  2
2015010109,  -7,  27,  0.00,  105,  0
2015010110,  -4,  27,  0.00,  20,  3
2015010111,  -1,  17,  0.00,  43,  3
2015010112,  -1,  12,  0.00,  139,  0
2015010113,  2,  12,  0.00,  60,  2
2015010114,  4,  10,  0.00,  213,  2
2015010115,  3,  7,  0.00,  332,  2
2015010116,  6,  9,  0.00,  275,  4
2015010117,  3,  8,  0.00,  258,  2
2015010118,  1,  10,  0.00,  258,  0
2015010119,  0,  14,  0.00,  23,  0
2015010120,  -1,  17,  0.00,  17,  0
2015010121,  1,  16,  0.00,  281,  4
2015010122,  0,  22,  0.00,  85,  2
2015010123     , 999999, 999999, 999999, 999999, 999999
2015010200,  -3,  19,  0.00,  343,  0
2015010201,  -1,  20,  0.00,  20,  4
2015010202,  -4,  19,  0.00,  346,  0
2015010203,  -3,  27,  0.00,  6,  2
2015010204,  -4,  29,  0.00,  20,  3
2015010205,  -6,  30,  0.00,  68,  1
2015010206,  -5,  33,  0.00,  17,  4
2015010207,  -6,  29,  0.00,  145,  0
2015010208,  -6,  31,  0.00,  329,  0
2015010209,  -5,  31,  0.00,  340,  0
2015010210,  1,  27,  0.00,  125,  2
2015010211,  1,  23,  0.00,  54,  2
2015010212,  2,  16,  0.00,  357,  0
2015010213,  4,  12,  0.00,  102,  0
2015010214,  7,  12,  0.00,  204,  5
2015010215,  6,  15,  0.00,  170,  5
2015010216,  3,  17,  0.00,  207,  3
2015010217,  4,  19,  0.00,  187,  4
2015010218,  4,  19,  0.00,  213,  3
2015010219,  4,  19,  0.00,  201,  2
2015010220,  1,  19,  0.00,  37,  0
2015010221,  1,  20,  0.00,  40,  2
2015010222,  0,  20,  0.00,  181,  3
2015010223     , 999999, 999999, 999999, 999999, 999999
2015010300,  -1,  29,  0.00,  136,  0
2015010301,  -1,  30,  0.00,  207,  0
2015010302,  -1,  32,  0.00,  162,  0
2015010303,  -2,  34,  0.00,  145,  0
2015010304,  0,  39,  0.00,  26,  0
2015010305,  -2,  44,  0.00,  17,  3
2015010306,  -4,  41,  0.00,  20,  1
2015010307,  -2,  42,  0.00,  346,  2
2015010308,  -2,  47,  0.00,  20,  3
2015010309,  -4,  44,  0.00,  23,  1
2015010310,  -1,  37,  0.00,  351,  0
2015010311,  3,  24,  0.00,  40,  1
2015010312,  7,  25,  0.00,  40,  3
2015010313,  9,  24,  0.00,  48,  4
2015010314,  9,  20,  0.00,  71,  0
2015010315,  10,  17,  0.00,  62,  0
2015010316,  13,  18,  0.00,  43,  2
2015010317,  10,  17,  0.00,  71,  1
2015010318,  10,  22,  0.00,  289,  0
2015010319,  8,  26,  0.00,  269,  2
2015010320,  4,  28,  0.00,  349,  0
2015010321,  2,  32,  0.00,  320,  0
2015010322,  1,  36,  0.00,  68,  0
2015010323     , 999999, 999999, 999999, 999999, 999999
2015010400,  1,  39,  0.00,  23,  2
2015010401,  1,  39,  0.00,  207,  0
2015010402,  -1,  40,  0.00,  37,  0
2015010403,  -1,  45,  0.00,  125,  2
2015010404,  -1,  49,  0.00,  125,  2
2015010405,  -3,  48,  0.00,  224,  0
2015010406,  -1,  50,  0.00,  111,  0
2015010407,  -2,  52,  0.00,  85,  0
2015010408,  -4,  49,  0.00,  0,  0
2015010409,  -1,  44,  0.00,  9,  0
2015010410,  0,  36,  0.00,  0,  0
2015010411,  6,  30,  0.00,  116,  2
2015010412,  7,  23,  0.00,  261,  0
2015010413,  9,  22,  0.00,  272,  0
2015010414,  11,  26,  0.00,  170,  3
2015010415,  10,  36,  0.00,  99,  3
2015010416,  9,  32,  0.00,  181,  2
2015010417,  7,  34,  0.00,  201,  1
2015010418,  7,  40,  0.00,  210,  3
2015010419,  7,  43,  0.00,  227,  3
2015010420,  8,  50,  0.00,  204,  3
2015010421,  5,  49,  0.00,  153,  2
2015010422,  7,  52,  0.00,  213,  2
2015010423     , 999999, 999999, 999999, 999999, 999999
2015010500,  4,  51,  0.00,  201,  0
2015010501,  6,  53,  0.00,  230,  2
2015010502,  6,  54,  0.00,  244,  2
2015010503,  6,  54,  0.00,  283,  0
2015010504,  4,  54,  0.00,  20,  0
2015010505,  3,  55,  0.00,  357,  0
2015010506,  5,  57,  0.00,  334,  2
2015010507,  6,  55,  0.00,  306,  3
2015010508,  6,  53,  0.00,  3,  0
2015010509,  7,  32,  0.00,  298,  5
2015010510,  7,  32,  0.00,  329,  4
2015010511,  7,  31,  0.00,  320,  3
2015010512,  5,  27,  0.00,  306,  2
2015010513,  7,  26,  0.00,  343,  6
2015010514,  5,  23,  0.00,  323,  3
2015010515,  6,  22,  0.00,  306,  2
2015010516,  8,  23,  0.00,  312,  8
2015010517,  8,  23,  0.00,  298,  5
2015010518,  8,  22,  0.00,  332,  7
2015010519,  8,  22,  0.00,  323,  6
2015010520,  5,  20,  0.00,  300,  3
2015010521,  4,  19,  0.00,  298,  3
2015010522,  4,  19,  0.00,  317,  1
2015010523     , 999999, 999999, 999999, 999999, 999999
2015010600,  5,  26,  0.00,  312,  5
2015010601,  2,  25,  0.00,  283,  1
2015010602,  3,  30,  0.00,  349,  4
2015010603,  0,  30,  0.00,  0,  2
2015010604,  -1,  29,  0.00,  3,  0
