date,temp,rh,pop,wDir,wSpeed
2015010100, -18, 51, 0.00, 150, 0
2015010101, -20, 51, 0.00, 11, 0
2015010102, -20, 51, 0.00, 312, 0
2015010103, -19, 54, 0.00, 340, 2
2015010104, -19, 55, 0.00, 286, 2
2015010105, -21, 54, 0.00, 323, 0
2015010106, -19, 58, 0.00, 357, 0
2015010107, -21, 56, 0.00, 354, 0
2015010108, -21, 55, 0.00, 334, 1
2015010109, -16, 48, 0.00, 26, 0
2015010110, -9, 23, 0.00, 20, 1
2015010111, -7, 18, 0.00, 79, 1
2015010112, -2, 14, 0.00, 264, 3
2015010113, -2, 9, 0.00, 300, 2
2015010114, -1, 8, 0.00, 227, 3
2015010115, 0, 8, 0.00, 266, 2
2015010116, 3, 9, 0.00, 323, 4
2015010117, 1, 11, 0.00, 252, 4
2015010118, -1, 15, 0.00, 275, 0
2015010119, -2, 15, 0.00, 230, 0
2015010120, -5, 19, 0.00, 20, 2
2015010121, -4, 16, 0.00, 235, 2
2015010122, -6, 19, 0.00, 28, 1
2015010123     ,999999,999999,999999,999999,999999
2015010200, -12, 35, 0.00, 354, 3
2015010201, -8, 31, 0.00, 357, 4
2015010202, -10, 27, 0.00, 133, 0
2015010203, -14, 38, 0.00, 292, 0
2015010204, -14, 44, 0.00, 298, 2
2015010205, -14, 47, 0.00, 0, 3
2015010206, -12, 36, 0.00, 26, 0
2015010207, -15, 40, 0.00, 65, 0
2015010208, -17, 48, 0.00, 326, 1
2015010209, -12, 46, 0.00, 14, 3
2015010210, -7, 27, 0.00, 28, 1
2015010211, -4, 20, 0.00, 31, 1
2015010212, 1, 18, 0.00, 295, 0
2015010213, 0, 15, 0.00, 119, 1
2015010214, 0, 14, 0.00, 196, 0
2015010215, 1, 14, 0.00, 198, 0
2015010216, 3, 16, 0.00, 130, 2
2015010217, 1, 20, 0.00, 122, 2
2015010218, -5, 25, 0.00, 334, 0
2015010219, -6, 31, 0.00, 3, 2
2015010220, -7, 34, 0.00, 6, 2
2015010221, -9, 37, 0.00, 3, 2
2015010222, -9, 40, 0.00, 334, 3
2015010223     ,999999,999999,999999,999999,999999
2015010300, -6, 38, 0.00, 17, 2
2015010301, -7, 35, 0.00, 343, 0
2015010302, -8, 36, 0.00, 349, 0
2015010303, -2, 29, 0.00, 357, 0
2015010304, 1, 24, 0.00, 150, 4
2015010305, 1, 24, 0.00, 230, 3
2015010306, 1, 28, 0.00, 255, 3
2015010307, 0, 27, 0.00, 275, 1
2015010308, -2, 32, 0.00, 235, 2
2015010309, -1, 26, 0.00, 235, 4
2015010310, 0, 21, 0.00, 264, 7
2015010311, 3, 18, 0.00, 116, 1
2015010312, 5, 19, 0.00, 187, 2
2015010313, 5, 13, 0.00, 241, 4
2015010314, 5, 12, 0.00, 312, 2
2015010315, 8, 13, 0.00, 315, 3
2015010316, 9, 13, 0.00, 215, 3
2015010317, 6, 14, 0.00, 278, 3
2015010318, -1, 18, 0.00, 289, 0
2015010319, -2, 22, 0.00, 23, 0
2015010320, -6, 29, 0.00, 303, 0
2015010321, -5, 34, 0.00, 17, 2
2015010322, -7, 31, 0.00, 298, 0
2015010323     ,999999,999999,999999,999999,999999
2015010400, -9, 39, 0.00, 23, 1
2015010401, -3, 31, 0.00, 0, 4
2015010402, -6, 36, 0.00, 346, 3
2015010403, -11, 40, 0.00, 346, 0
2015010404, -6, 37, 0.00, 0, 3
2015010405, -7, 40, 0.00, 91, 0
2015010406, -9, 44, 0.00, 295, 2
2015010407, -11, 50, 0.00, 0, 3
2015010408, -14, 53, 0.00, 278, 0
2015010409, -9, 52, 0.00, 326, 0
2015010410, -1, 31, 0.00, 218, 2
2015010411, -1, 21, 0.00, 96, 1
2015010412, 3, 23, 0.00, 82, 3
2015010413, 4, 20, 0.00, 128, 2
2015010414, 5, 18, 0.00, 88, 3
2015010415, 4, 19, 0.00, 156, 2
2015010416, 2, 17, 0.00, 74, 0
2015010417, 1, 20, 0.00, 88, 0
2015010418, -1, 23, 0.00, 99, 0
2015010419, -1, 26, 0.00, 31, 0
2015010420, 1, 30, 0.00, 26, 3
2015010421, -1, 28, 0.00, 269, 0
2015010422, 1, 31, 0.00, 9, 0
2015010423     ,999999,999999,999999,999999,999999
2015010500, 1, 29, 0.00, 82, 2
2015010501, 1, 30, 0.00, 9, 0
2015010502, -1, 30, 0.00, 298, 0
2015010503, -1, 31, 0.00, 306, 0
2015010504, 1, 31, 0.00, 26, 2
2015010505, 2, 25, 0.00, 14, 5
2015010506, 1, 28, 0.00, 343, 3
2015010507, 1, 30, 0.00, 14, 3
2015010508, 0, 32, 0.00, 351, 4
2015010509, 1, 31, 0.00, 77, 4
2015010510, 1, 28, 0.00, 354, 5
2015010511, 0, 23, 0.00, 357, 2
2015010512, 1, 23, 0.00, 6, 4
2015010513, 1, 24, 0.00, 28, 5
2015010514, 0, 23, 0.00, 34, 4
2015010515, 2, 24, 0.00, 0, 7
2015010516, 1, 23, 0.00, 343, 5
2015010517, -1, 22, 0.00, 334, 2
2015010518, -2, 30, 0.00, 309, 4
2015010519, -3, 32, 0.00, 323, 3
2015010520, -4, 34, 0.00, 111, 2
2015010521, -9, 37, 0.00, 334, 0
2015010522, -11, 46, 0.00, 298, 0
2015010523     ,999999,999999,999999,999999,999999
2015010600, -11, 55, 0.00, 286, 3
2015010601, -14, 56, 0.00, 326, 0
2015010602, -14, 61, 0.00, 6, 2
2015010603, -15, 59, 0.00, 17, 0
2015010604, -16, 60, 0.00, 346, 0
2015010605, -16, 56, 0.00, 349, 0
2015010606, -17, 55, 0.00, 77, 0
2015010607, -18, 61, 0.00, 0, 0
2015010608, -19, 62, 0.00, 309, 0
2015010609, -13, 49, 0.00, 133, 0
2015010610, -7, 35, 0.00, 0, 2
2015010611, -7, 29, 0.00, 235, 0
2015010612, -5, 22, 0.00, 187, 0
2015010613, -4, 18, 0.00, 181, 0
2015010614, -1, 17, 0.00, 119, 3
2015010615, -3, 16, 0.00, 139, 1
2015010616, -2, 18, 0.00, 105, 2
2015010617, -2, 18, 0.00, 113, 2
2015010618, -6, 18, 0.00, 133, 0
2015010619, -7, 28, 0.00, 334, 2
2015010620, -8, 34, 0.00, 337, 2
2015010621, -12, 32, 0.00, 278, 0
2015010622, -10, 39, 0.00, 334, 2
2015010623     ,999999,999999,999999,999999,999999
2015010700, -10, 42, 0.00, 332, 2
2015010701, -12, 40, 0.00, 346, 0
2015010702, -11, 44, 0.00, 28, 2
2015010703, -11, 47, 0.00, 6, 2
2015010704, -13, 42, 0.00, 6, 0
2015010705, -13, 45, 0.00, 346, 0
2015010706, -12, 49, 0.00, 283, 0
2015010707, -12, 51, 0.00, 23, 2
2015010708, -14, 47, 0.00, 326, 0
2015010709, -13, 48, 0.00, 323, 0
2015010710, -7, 28, 0.00, 51, 0
2015010711, -3, 20, 0.00, 258, 0
2015010712, -1, 16, 0.00, 207, 1
2015010713, 1, 16, 0.00, 181, 2
2015010714, 2, 15, 0.00, 139, 2
2015010715, 3, 14, 0.00, 145, 2
2015010716, 3, 14, 0.00, 258, 7
2015010717, 1, 15, 0.00, 278, 4
2015010718, -3, 17, 0.00, 317, 1
2015010719, -2, 23, 0.00, 207, 0
2015010720, -6, 29, 0.00, 204, 0
2015010721, -8, 35, 0.00, 357, 2
2015010722, -9, 37, 0.00, 334, 2
2015010723     ,999999,999999,999999,999999,999999
2015010800, -9, 42, 0.00, 357, 3
2015010801, -9, 35, 0.00, 40, 1
2015010802, -9, 38, 0.00, 45, 0
2015010803, -7, 37, 0.00, 96, 1
2015010804, -7, 39, 0.00, 357, 0
2015010805, -8, 41, 0.00, 221, 0
2015010806, -9, 52, 0.00, 218, 0
2015010807, -11, 59, 0.00, 315, 0
2015010808, -12, 63, 0.00, 266, 2
2015010809, -9, 54, 0.00, 295, 0
2015010810, -2, 40, 0.00, 113, 2
2015010811, 1, 34, 0.00, 54, 3
2015010812, -1, 29, 0.00, 232, 0
2015010813, 3, 27, 0.00, 286, 7
2015010814, 1, 22, 0.00, 315, 3
2015010815, 2, 21, 0.00, 323, 2
2015010816, 4, 23, 0.00, 283, 4
2015010817, 2, 30, 0.00, 264, 4
2015010818, 1, 34, 0.00, 340, 5
2015010819, -1, 36, 0.00, 323, 1
2015010820, -1, 35, 0.00, 227, 1
2015010821, -4, 41, 0.00, 122, 0
2015010822, -3, 48, 0.00, 82, 0
2015010823     ,999999,999999,999999,999999,999999
2015010900, -5, 51, 0.00, 230, 4
2015010901, -7, 52, 0.00, 23, 0
2015010902, -8, 51, 0.00, 272, 0
2015010903, -8, 51, 0.00, 343, 1
2015010904, -8, 54, 0.00, 43, 0
2015010905, -10, 63, 0.00, 349, 1
2015010906, -10, 61, 0.00, 6, 0
2015010907, -11, 59, 0.00, 329, 0
2015010908, -11, 68, 0.00, 337, 2
2015010909, -9, 58, 0.00, 11, 0
2015010910, -4, 41, 0.00, 105, 0
2015010911, -1, 37, 0.00, 198, 3
2015010912, 1, 30, 0.00, 105, 0
2015010913, 2, 24, 0.00, 218, 3
2015010914, 4, 21, 0.00, 286, 3
2015010915, 4, 18, 0.00, 320, 6
2015010916, 1, 15, 0.00, 354, 2
2015010917, 2, 19, 0.00, 289, 3
2015010918, -3, 23, 0.00, 283, 1
2015010919, -5, 26, 0.00, 258, 0
2015010920, -8, 34, 0.00, 286, 0
2015010921, -10, 39, 0.00, 343, 0
2015010922, -11, 42, 0.00, 275, 0
2015010923     ,999999,999999,999999,999999,999999
2015011000, -12, 53, 0.00, 346, 0
2015011001, -13, 50, 0.00, 303, 1
