date,temp,rh,pop,wDir,wSpeed
2015010100, -7, 39, 0.00, 71, 0
2015010101, -9, 56, 0.00, 57, 0
2015010102, -8, 46, 0.00, 37, 0
2015010103, -6, 46, 0.00, 82, 3
2015010104, -7, 51, 0.00, 51, 2
2015010105, -8, 57, 0.00, 48, 3
2015010106, -10, 59, 0.00, 31, 0
2015010107, -12, 61, 0.00, 79, 1
2015010108, -8, 62, 0.00, 0, 0
2015010109, -4, 56, 0.00, 133, 0
2015010110, -1, 34, 0.00, 133, 2
2015010111, 1, 27, 0.00, 139, 3
2015010112, 0, 18, 0.00, 102, 0
2015010113, 1, 16, 0.00, 241, 1
2015010114, 3, 13, 0.00, 147, 0
2015010115, 4, 12, 0.00, 207, 1
2015010116, 3, 12, 0.00, 218, 0
2015010117, 2, 17, 0.00, 201, 0
2015010118, 2, 21, 0.00, 210, 2
2015010119, -1, 25, 0.00, 326, 0
2015010120, -1, 41, 0.00, 20, 0
2015010121, -5, 43, 0.00, 247, 0
2015010122, -4, 58, 0.00, 82, 2
2015010123     ,999999,999999,999999,999999,999999
2015010200, -5, 53, 0.00, 48, 3
2015010201, -6, 59, 0.00, 17, 2
2015010202, -6, 63, 0.00, 312, 0
2015010203, -6, 59, 0.00, 0, 0
2015010204, -9, 57, 0.00, 317, 0
2015010205, -9, 63, 0.00, 65, 0
2015010206, -7, 64, 0.00, 82, 3
2015010207, -9, 59, 0.00, 303, 0
2015010208, -9, 60, 0.00, 133, 0
2015010209, -4, 54, 0.00, 74, 0
2015010210, -2, 41, 0.00, 85, 1
2015010211, -1, 33, 0.00, 82, 1
2015010212, 0, 29, 0.00, 85, 1
2015010213, 1, 27, 0.00, 283, 0
2015010214, 3, 28, 0.00, 170, 2
2015010215, 3, 35, 0.00, 164, 2
2015010216, 3, 36, 0.00, 0, 0
2015010217, 3, 38, 0.00, 326, 0
2015010218, 1, 47, 0.00, 190, 3
2015010219, 1, 50, 0.00, 281, 0
2015010220, -1, 43, 0.00, 249, 0
2015010221, -3, 53, 0.00, 179, 0
2015010222, -4, 60, 0.00, 79, 0
2015010223     ,999999,999999,999999,999999,999999
2015010300, -3, 73, 0.00, 60, 0
2015010301, -4, 76, 0.00, 57, 0
2015010302, -5, 79, 0.00, 77, 0
2015010303, -7, 77, 0.00, 57, 0
2015010304, -5, 78, 0.00, 298, 0
2015010305, -8, 79, 0.00, 94, 0
2015010306, -6, 81, 0.00, 323, 2
2015010307, -6, 76, 0.00, 0, 0
2015010308, -7, 81, 0.00, 51, 2
2015010309, -6, 70, 0.00, 136, 0
2015010310, -3, 54, 0.00, 332, 0
2015010311, 2, 40, 0.00, 278, 2
2015010312, 4, 34, 0.00, 255, 3
2015010313, 5, 29, 0.00, 213, 3
2015010314, 7, 27, 0.00, 232, 3
2015010315, 5, 23, 0.00, 278, 0
2015010316, 6, 22, 0.00, 275, 0
2015010317, 5, 24, 0.00, 190, 0
2015010318, 1, 33, 0.00, 11, 0
2015010319, 1, 46, 0.00, 323, 0
2015010320, -2, 49, 0.00, 14, 0
2015010321, -1, 62, 0.00, 147, 0
2015010322, -5, 64, 0.00, 48, 1
2015010323     ,999999,999999,999999,999999,999999
2015010400, -5, 58, 0.00, 62, 0
2015010401, -3, 63, 0.00, 261, 0
2015010402, -3, 64, 0.00, 354, 2
2015010403, -5, 65, 0.00, 357, 0
2015010404, -3, 65, 0.00, 312, 2
2015010405, -4, 77, 0.00, 82, 2
2015010406, -6, 73, 0.00, 142, 0
2015010407, -4, 74, 0.00, 164, 0
2015010408, -4, 72, 0.00, 323, 2
2015010409, -2, 65, 0.00, 227, 0
2015010410, -2, 59, 0.00, 82, 1
2015010411, 2, 46, 0.00, 62, 2
2015010412, 4, 38, 0.00, 232, 3
2015010413, 3, 35, 0.00, 235, 1
2015010414, 4, 32, 0.00, 252, 1
2015010415, 5, 30, 0.00, 230, 0
2015010416, 6, 37, 0.00, 218, 3
2015010417, 4, 37, 0.00, 156, 0
2015010418, 3, 39, 0.00, 184, 0
2015010419, 5, 43, 0.00, 283, 2
2015010420, 4, 48, 0.00, 130, 2
2015010421, 2, 48, 0.00, 164, 0
2015010422, 1, 51, 0.00, 334, 0
2015010423     ,999999,999999,999999,999999,999999
2015010500, 3, 57, 0.00, 57, 3
2015010501, 3, 53, 0.00, 334, 2
2015010502, 2, 46, 0.00, 210, 0
2015010503, 1, 53, 0.00, 71, 0
2015010504, 0, 55, 0.00, 300, 0
2015010505, 1, 55, 0.00, 303, 0
2015010506, 3, 57, 0.00, 269, 2
2015010507, 1, 55, 0.00, 173, 0
2015010508, 3, 56, 0.00, 17, 0
2015010509, 1, 58, 0.00, 247, 0
2015010510, 7, 44, 0.00, 255, 4
2015010511, 7, 26, 0.00, 306, 1
2015010512, 7, 16, 0.00, 315, 10
2015010513, 7, 16, 0.00, 349, 9
2015010514, 9, 17, 0.00, 317, 9
2015010515, 10, 17, 0.00, 332, 9
2015010516, 10, 18, 0.00, 317, 8
2015010517, 10, 18, 0.00, 298, 5
2015010518, 7, 16, 0.00, 289, 4
2015010519, 6, 16, 0.00, 309, 6
2015010520, 6, 16, 0.00, 329, 8
2015010521, 6, 17, 0.00, 343, 3
2015010522, 7, 20, 0.00, 119, 4
2015010523     ,999999,999999,999999,999999,999999
2015010600, 2, 27, 0.00, 315, 0
2015010601, 2, 40, 0.00, 48, 4
2015010602, 0, 36, 0.00, 71, 0
2015010603, -1, 40, 0.00, 329, 0
2015010604, -1, 42, 0.00, 332, 1
2015010605, -3, 50, 0.00, 85, 0
2015010606, -2, 52, 0.00, 162, 0
2015010607, -2, 48, 0.00, 303, 0
2015010608, 0, 48, 0.00, 133, 2
2015010609, 1, 54, 0.00, 108, 2
2015010610, 2, 48, 0.00, 337, 2
2015010611, 2, 34, 0.00, 332, 0
2015010612, 4, 33, 0.00, 82, 2
2015010613, 7, 26, 0.00, 164, 3
2015010614, 6, 25, 0.00, 162, 4
2015010615, 4, 23, 0.00, 145, 0
2015010616, 4, 25, 0.00, 119, 2
2015010617, 5, 29, 0.00, 139, 5
2015010618, 3, 34, 0.00, 252, 3
2015010619, 2, 41, 0.00, 252, 1
2015010620, 2, 43, 0.00, 275, 1
2015010621, 4, 50, 0.00, 264, 4
2015010622, 3, 56, 0.00, 255, 4
2015010623     ,999999,999999,999999,999999,999999
2015010700, 2, 70, 0.00, 235, 4
2015010701, -1, 75, 0.00, 241, 1
2015010702, 1, 82, 0.00, 210, 3
2015010703, 1, 85, 0.00, 210, 3
2015010704, 0, 89, 0.00, 173, 2
2015010705, -3, 93, 0.00, 133, 0
2015010706, -4, 94, 0.00, 357, 0
2015010707, -5, 95, 0.00, 28, 0
2015010708, -5, 97, 0.00, 31, 0
2015010709, -4, 97, 0.00, 315, 0
2015010710, 0, 80, 0.00, 213, 0
2015010711, 3, 63, 0.00, 261, 5
2015010712, 3, 48, 0.00, 266, 2
2015010713, 5, 39, 0.00, 244, 2
2015010714, 8, 45, 0.00, 224, 5
2015010715, 8, 42, 0.00, 281, 4
2015010716, 7, 30, 0.00, 266, 2
2015010717, 6, 37, 0.00, 227, 1
2015010718, 5, 44, 0.00, 232, 2
2015010719, 3, 54, 0.00, 119, 2
2015010720, 1, 62, 0.00, 102, 0
2015010721, -1, 71, 0.00, 71, 0
2015010722, -1, 82, 0.00, 57, 3
2015010723     ,999999,999999,999999,999999,999999
2015010800, -2, 82, 0.00, 329, 0
2015010801, -2, 85, 0.00, 0, 0
2015010802, -5, 81, 0.00, 60, 0
2015010803, -3, 81, 0.00, 60, 2
2015010804, -2, 83, 0.00, 57, 3
2015010805, -3, 85, 0.00, 60, 2
2015010806, -2, 87, 0.00, 227, 0
2015010807, -3, 85, 0.00, 309, 2
2015010808, -3, 88, 0.00, 119, 0
2015010809, -3, 83, 0.00, 145, 0
2015010810, 0, 76, 0.00, 57, 2
2015010811, 4, 59, 0.00, 215, 2
2015010812, 7, 34, 0.00, 190, 3
2015010813, 6, 24, 0.00, 181, 0
2015010814, 7, 24, 0.00, 261, 1
2015010815, 9, 30, 0.00, 170, 4
2015010816, 9, 30, 0.00, 272, 4
2015010817, 6, 30, 0.00, 247, 0
2015010818, 5, 40, 0.00, 150, 2
2015010819, 1, 49, 0.00, 57, 0
2015010820, 1, 64, 0.00, 37, 0
2015010821, 1, 64, 0.00, 31, 2
2015010822, 1, 70, 0.00, 43, 2
2015010823     ,999999,999999,999999,999999,999999
2015010900, -1, 72, 0.00, 45, 3
2015010901, -2, 72, 0.00, 74, 2
2015010902, -5, 74, 0.00, 77, 0
2015010903, -2, 72, 0.00, 60, 2
2015010904, -2, 74, 0.00, 0, 2
2015010905, -3, 75, 0.00, 60, 2
2015010906, -4, 68, 0.00, 48, 0
2015010907, -5, 72, 0.00, 309, 0
2015010908, -5, 76, 0.00, 108, 0
2015010909, -4, 76, 0.00, 17, 0
2015010910, -1, 58, 0.00, 292, 0
2015010911, 2, 43, 0.00, 309, 0
2015010912, 6, 37, 0.00, 190, 2
2015010913, 8, 36, 0.00, 235, 2
2015010914, 10, 33, 0.00, 252, 2
2015010915, 7, 34, 0.00, 173, 2
2015010916, 10, 29, 0.00, 204, 0
2015010917, 10, 29, 0.00, 79, 0
2015010918, 5, 40, 0.00, 312, 0
2015010919, 3, 52, 0.00, 51, 4
2015010920, 1, 63, 0.00, 34, 0
2015010921, -1, 58, 0.00, 108, 0
2015010922, -2, 63, 0.00, 40, 0
2015010923     ,999999,999999,999999,999999,999999
2015011000, -1, 69, 0.00, 68, 2
2015011001, 0, 69, 0.00, 272, 0
2015011002, -2, 80, 0.00, 74, 2
2015011003, -3, 64, 0.00, 57, 2
