date,temp,rh,pop,wDir,wSpeed
2015010100, -9, 23, 0.00, 337, 3
2015010101, -10, 24, 0.00, 349, 2
2015010102, -10, 23, 0.00, 20, 2
2015010103, -10, 25, 0.00, 57, 1
2015010104, -11, 24, 0.00, 349, 1
2015010105, -9, 31, 0.00, 82, 3
2015010106, -9, 32, 0.00, 91, 2
2015010107, -9, 29, 0.00, 159, 0
2015010108, -9, 28, 0.00, 198, 3
2015010109, -9, 27, 0.00, 119, 0
2015010110, -6, 18, 0.00, 292, 0
2015010111, -3, 18, 0.00, 303, 0
2015010112, -1, 14, 0.00, 281, 3
2015010113, 0, 14, 0.00, 266, 0
2015010114, -1, 11, 0.00, 232, 0
2015010115, 3, 11, 0.00, 11, 2
2015010116, 1, 10, 0.00, 91, 0
2015010117, 1, 9, 0.00, 215, 2
2015010118, -1, 11, 0.00, 184, 3
2015010119, -1, 13, 0.00, 201, 4
2015010120, 1, 14, 0.00, 207, 5
2015010121, 0, 16, 0.00, 187, 2
2015010122, 0, 14, 0.00, 0, 0
2015010123     ,999999,999999,999999,999999,999999
2015010200, -4, 17, 0.00, 62, 2
2015010201, -5, 18, 0.00, 79, 3
2015010202, -5, 20, 0.00, 88, 3
2015010203, -4, 24, 0.00, 68, 4
2015010204, -6, 23, 0.00, 351, 0
2015010205, -7, 30, 0.00, 176, 2
2015010206, -8, 25, 0.00, 94, 1
2015010207, -8, 29, 0.00, 57, 2
2015010208, -6, 33, 0.00, 40, 3
2015010209, -6, 33, 0.00, 292, 3
2015010210, -9, 32, 0.00, 224, 0
2015010211, -4, 28, 0.00, 230, 0
2015010212, -3, 26, 0.00, 218, 1
2015010213, -2, 23, 0.00, 357, 1
2015010214, -1, 20, 0.00, 340, 0
2015010215, 1, 20, 0.00, 196, 2
2015010216, 2, 20, 0.00, 105, 2
2015010217, 1, 17, 0.00, 215, 2
2015010218, 1, 18, 0.00, 207, 4
2015010219, 0, 22, 0.00, 201, 6
2015010220, 1, 27, 0.00, 201, 6
2015010221, 1, 41, 0.00, 196, 5
2015010222, -1, 32, 0.00, 190, 2
2015010223     ,999999,999999,999999,999999,999999
2015010300, 1, 56, 0.00, 190, 2
2015010301, 1, 56, 0.00, 215, 4
2015010302, 0, 53, 0.00, 193, 6
2015010303, -1, 41, 0.00, 193, 6
2015010304, -1, 39, 0.00, 224, 4
2015010305, -1, 39, 0.00, 184, 5
2015010306, -3, 37, 0.00, 190, 5
2015010307, 0, 31, 0.00, 184, 6
2015010308, 0, 33, 0.00, 213, 5
2015010309, -1, 30, 0.00, 128, 0
2015010310, 2, 30, 0.00, 111, 2
2015010311, 4, 30, 0.00, 23, 4
2015010312, 3, 27, 0.00, 315, 1
2015010313, 6, 26, 0.00, 247, 3
2015010314, 9, 21, 0.00, 334, 2
2015010315, 8, 17, 0.00, 6, 3
2015010316, 10, 19, 0.00, 71, 3
2015010317, 7, 17, 0.00, 54, 1
2015010318, 5, 20, 0.00, 60, 2
2015010319, 5, 19, 0.00, 51, 2
2015010320, 5, 24, 0.00, 224, 4
2015010321, 4, 29, 0.00, 244, 4
2015010322, 1, 28, 0.00, 26, 0
2015010323     ,999999,999999,999999,999999,999999
2015010400, 1, 28, 0.00, 196, 0
2015010401, 1, 32, 0.00, 125, 2
2015010402, 1, 34, 0.00, 65, 2
2015010403, -1, 33, 0.00, 54, 0
2015010404, -2, 39, 0.00, 0, 0
2015010405, -4, 45, 0.00, 105, 0
2015010406, -4, 44, 0.00, 43, 0
2015010407, -2, 44, 0.00, 60, 3
2015010408, -5, 46, 0.00, 351, 1
2015010409, -5, 46, 0.00, 306, 0
2015010410, -1, 38, 0.00, 96, 1
2015010411, 2, 32, 0.00, 57, 1
2015010412, 3, 27, 0.00, 320, 1
2015010413, 7, 26, 0.00, 82, 4
2015010414, 10, 21, 0.00, 241, 5
2015010415, 11, 17, 0.00, 326, 2
2015010416, 10, 17, 0.00, 48, 3
2015010417, 8, 16, 0.00, 68, 1
2015010418, 10, 24, 0.00, 162, 3
2015010419, 9, 47, 0.00, 108, 3
2015010420, 6, 41, 0.00, 210, 1
2015010421, 4, 48, 0.00, 224, 3
2015010422, 3, 53, 0.00, 198, 1
2015010423     ,999999,999999,999999,999999,999999
2015010500, 3, 57, 0.00, 227, 2
2015010501, 4, 61, 0.00, 221, 3
2015010502, 2, 60, 0.00, 213, 1
2015010503, 4, 62, 0.00, 204, 4
2015010504, 4, 64, 0.00, 156, 4
2015010505, 2, 62, 0.00, 167, 2
2015010506, 4, 64, 0.00, 218, 3
2015010507, 4, 62, 0.00, 232, 2
2015010508, 2, 60, 0.00, 315, 0
2015010509, 2, 62, 0.00, 82, 1
2015010510, 2, 54, 0.00, 354, 0
2015010511, 4, 54, 0.00, 289, 0
2015010512, 5, 49, 0.00, 309, 4
2015010513, 5, 44, 0.00, 317, 4
2015010514, 6, 29, 0.00, 340, 7
2015010515, 7, 29, 0.00, 0, 8
2015010516, 7, 30, 0.00, 323, 6
2015010517, 6, 31, 0.00, 317, 7
2015010518, 3, 29, 0.00, 312, 4
2015010519, 2, 29, 0.00, 337, 5
2015010520, 1, 32, 0.00, 343, 4
2015010521, 1, 37, 0.00, 0, 4
2015010522, 2, 41, 0.00, 6, 4
2015010523     ,999999,999999,999999,999999,999999
2015010600, 1, 43, 0.00, 14, 4
2015010601, -2, 44, 0.00, 0, 4
2015010602, -3, 40, 0.00, 354, 2
2015010603, -4, 39, 0.00, 354, 5
2015010604, -5, 41, 0.00, 300, 2
2015010605, -5, 39, 0.00, 334, 2
2015010606, -3, 41, 0.00, 3, 4
2015010607, -5, 39, 0.00, 351, 1
2015010608, -6, 39, 0.00, 303, 1
2015010609, -4, 42, 0.00, 303, 2
2015010610, -5, 42, 0.00, 201, 1
2015010611, -4, 35, 0.00, 235, 1
2015010612, 0, 35, 0.00, 232, 5
2015010613, 0, 39, 0.00, 179, 6
2015010614, -2, 37, 0.00, 179, 3
2015010615, -1, 33, 0.00, 181, 4
2015010616, 0, 37, 0.00, 193, 5
2015010617, -1, 39, 0.00, 193, 4
2015010618, -3, 37, 0.00, 176, 4
2015010619, -4, 38, 0.00, 184, 3
2015010620, -4, 38, 0.00, 167, 3
2015010621, -4, 38, 0.00, 153, 1
2015010622, -2, 40, 0.00, 207, 4
2015010623     ,999999,999999,999999,999999,999999
2015010700, -2, 41, 0.00, 207, 3
2015010701, -4, 40, 0.00, 184, 2
2015010702, -2, 42, 0.00, 164, 3
2015010703, -2, 43, 0.00, 190, 2
2015010704, -4, 42, 0.00, 213, 1
2015010705, -4, 40, 0.00, 269, 1
2015010706, -3, 46, 0.00, 113, 2
2015010707, -3, 44, 0.00, 349, 0
2015010708, -6, 50, 0.00, 91, 1
2015010709, -3, 47, 0.00, 54, 3
2015010710, -3, 36, 0.00, 60, 2
2015010711, 0, 31, 0.00, 3, 4
2015010712, 1, 28, 0.00, 323, 2
2015010713, 2, 26, 0.00, 289, 3
2015010714, 4, 20, 0.00, 278, 3
2015010715, 3, 18, 0.00, 51, 0
2015010716, 6, 19, 0.00, 312, 2
2015010717, 4, 21, 0.00, 88, 0
2015010718, 3, 23, 0.00, 221, 2
2015010719, -1, 15, 0.00, 266, 3
2015010720, 1, 18, 0.00, 269, 3
2015010721, -1, 20, 0.00, 204, 2
2015010722, 0, 23, 0.00, 184, 5
2015010723     ,999999,999999,999999,999999,999999
2015010800, -3, 28, 0.00, 162, 2
2015010801, -1, 31, 0.00, 184, 4
2015010802, -3, 30, 0.00, 218, 1
2015010803, -4, 32, 0.00, 145, 0
2015010804, -3, 28, 0.00, 193, 0
2015010805, -4, 32, 0.00, 167, 1
2015010806, -5, 35, 0.00, 139, 1
2015010807, -3, 28, 0.00, 213, 1
2015010808, -1, 32, 0.00, 249, 2
2015010809, -3, 28, 0.00, 252, 0
2015010810, 0, 37, 0.00, 71, 3
2015010811, -1, 31, 0.00, 79, 1
2015010812, 1, 29, 0.00, 255, 2
2015010813, 3, 27, 0.00, 337, 3
2015010814, 2, 24, 0.00, 303, 0
2015010815, 3, 23, 0.00, 204, 0
2015010816, 5, 25, 0.00, 167, 3
2015010817, 3, 23, 0.00, 190, 1
2015010818, 2, 24, 0.00, 198, 1
2015010819, 1, 29, 0.00, 292, 4
2015010820, 2, 32, 0.00, 286, 6
2015010821, 2, 33, 0.00, 275, 2
2015010822, 1, 34, 0.00, 173, 2
2015010823     ,999999,999999,999999,999999,999999
2015010900, 1, 34, 0.00, 235, 0
2015010901, 1, 36, 0.00, 136, 4
2015010902, -1, 33, 0.00, 164, 2
2015010903, 1, 36, 0.00, 167, 2
2015010904, -2, 37, 0.00, 167, 1
2015010905, -3, 40, 0.00, 167, 3
