date,temp,rh,pop,wDir,wSpeed
2015010100, -8, 18, 999999, 269, 2
2015010101, -5, 20, 999999, 261, 4
2015010102, -8, 18, 999999, 278, 2
2015010103, -8, 19, 999999, 269, 2
2015010104, -8, 20, 999999, 238, 3
2015010105, -8, 20, 999999, 252, 5
2015010106, -8, 20, 999999, 261, 4
2015010107, -8, 20, 999999, 269, 4
2015010108, -7, 19, 999999, 278, 4
2015010109, -7, 18, 999999, 292, 3
2015010110, -4, 15, 999999, 258, 4
2015010111, -1, 14, 999999, 258, 10
2015010112, 1, 12, 999999, 244, 6
2015010113, 1, 10, 999999, 252, 7
2015010114, 3, 9, 999999, 221, 7
2015010115, 2, 6, 999999, 252, 3
2015010116, 4, 7, 999999, 238, 7
2015010117, 0, 7, 999999, 247, 2
2015010118, 2, 10, 999999, 269, 6
2015010119, 1, 10, 999999, 278, 3
2015010120, 0, 13, 999999, 11, 3
2015010121, 0, 14, 999999, 31, 0
2015010122, 2, 11, 999999, 247, 6
2015010123     ,999999,999999,999999,999999,999999
2015010200, 1, 12, 999999, 295, 5
2015010201, -3, 14, 999999, 306, 1
2015010202, -4, 17, 999999, 354, 0
2015010203, -3, 21, 999999, 85, 2
2015010204, -3, 21, 999999, 320, 0
2015010205, -6, 21, 999999, 281, 0
2015010206, -7, 26, 999999, 351, 0
2015010207, -7, 26, 999999, 9, 0
2015010208, -7, 28, 999999, 0, 0
2015010209, -3, 27, 999999, 14, 0
2015010210, 0, 22, 999999, 354, 2
2015010211, -1, 14, 999999, 31, 0
2015010212, 1, 13, 999999, 125, 2
2015010213, 1, 13, 999999, 60, 3
2015010214, 3, 16, 999999, 74, 6
2015010215, 0, 15, 999999, 79, 5
2015010216, 1, 19, 999999, 82, 7
2015010217, 1, 22, 999999, 91, 4
2015010218, -2, 22, 999999, 77, 0
2015010219, -3, 23, 999999, 68, 0
2015010220, -4, 25, 999999, 96, 0
2015010221, -4, 27, 999999, 196, 0
2015010222, -6, 30, 999999, 337, 0
2015010223     ,999999,999999,999999,999999,999999
2015010300, -6, 33, 999999, 258, 0
2015010301, -5, 37, 999999, 286, 0
2015010302, -5, 38, 999999, 354, 2
2015010303, -6, 40, 999999, 292, 2
2015010304, -5, 31, 999999, 207, 1
2015010305, -7, 35, 999999, 62, 0
2015010306, -4, 29, 999999, 99, 1
2015010307, -3, 34, 999999, 99, 3
2015010308, 1, 26, 999999, 221, 7
2015010309, 1, 24, 999999, 210, 7
2015010310, 3, 23, 999999, 238, 10
2015010311, 5, 22, 999999, 249, 10
2015010312, 7, 20, 999999, 244, 11
2015010313, 9, 19, 999999, 255, 9
2015010314, 8, 15, 999999, 244, 8
2015010315, 8, 14, 999999, 230, 8
2015010316, 10, 16, 999999, 238, 8
2015010317, 9, 17, 999999, 312, 2
2015010318, 7, 18, 999999, 283, 2
2015010319, 6, 20, 999999, 312, 5
2015010320, 3, 25, 999999, 0, 2
2015010321, 1, 24, 999999, 122, 0
2015010322, 1, 30, 999999, 54, 3
2015010323     ,999999,999999,999999,999999,999999
2015010400, -1, 28, 999999, 62, 0
2015010401, -2, 32, 999999, 303, 1
2015010402, -2, 32, 999999, 320, 0
2015010403, -1, 35, 999999, 312, 0
2015010404, -2, 40, 999999, 315, 2
2015010405, -5, 39, 999999, 351, 0
2015010406, -5, 39, 999999, 300, 0
2015010407, -4, 36, 999999, 320, 0
2015010408, -2, 41, 999999, 329, 0
2015010409, 0, 35, 999999, 17, 0
2015010410, -1, 30, 999999, 326, 0
2015010411, 3, 23, 999999, 6, 0
2015010412, 8, 19, 999999, 184, 3
2015010413, 10, 15, 999999, 60, 4
2015010414, 10, 15, 999999, 88, 7
2015010415, 9, 18, 999999, 77, 6
2015010416, 6, 18, 999999, 74, 3
2015010417, 6, 21, 999999, 77, 4
2015010418, 5, 23, 999999, 77, 3
2015010419, 3, 21, 999999, 320, 0
2015010420, 2, 22, 999999, 71, 0
2015010421, 1, 24, 999999, 162, 0
2015010422, 1, 26, 999999, 20, 0
2015010423     ,999999,999999,999999,999999,999999
2015010500, 2, 29, 999999, 0, 2
2015010501, 0, 28, 999999, 23, 0
2015010502, 2, 30, 999999, 116, 2
2015010503, 0, 31, 999999, 122, 0
2015010504, 1, 33, 999999, 0, 2
2015010505, 2, 31, 999999, 346, 2
2015010506, 0, 30, 999999, 0, 0
2015010507, 0, 31, 999999, 323, 0
2015010508, 0, 31, 999999, 326, 0
2015010509, 0, 30, 999999, 17, 0
2015010510, 4, 29, 999999, 312, 0
2015010511, 5, 22, 999999, 230, 0
2015010512, 10, 19, 999999, 315, 10
2015010513, 10, 18, 999999, 317, 11
2015010514, 10, 16, 999999, 357, 12
2015010515, 9, 17, 999999, 340, 12
2015010516, 8, 15, 999999, 326, 9
2015010517, 4, 17, 999999, 343, 7
2015010518, 5, 22, 999999, 329, 7
2015010519, 2, 21, 999999, 329, 6
2015010520, 3, 22, 999999, 332, 5
2015010521, 0, 22, 999999, 320, 1
2015010522, 1, 26, 999999, 315, 3
2015010523     ,999999,999999,999999,999999,999999
2015010600, 0, 29, 999999, 329, 3
2015010601, -1, 29, 999999, 295, 2
2015010602, -2, 34, 999999, 136, 0
2015010603, -4, 36, 999999, 303, 3
2015010604, -6, 34, 999999, 281, 1
2015010605, -5, 38, 999999, 354, 3
2015010606, -7, 36, 999999, 20, 0
2015010607, -7, 40, 999999, 266, 0
2015010608, -9, 41, 999999, 23, 0
2015010609, -4, 36, 999999, 309, 0
2015010610, -3, 27, 999999, 6, 0
2015010611, 1, 23, 999999, 113, 3
2015010612, -1, 16, 999999, 323, 0
2015010613, 3, 16, 999999, 51, 2
2015010614, 3, 14, 999999, 125, 2
2015010615, 4, 13, 999999, 173, 2
2015010616, 2, 16, 999999, 91, 5
2015010617, -1, 17, 999999, 82, 1
2015010618, 0, 21, 999999, 74, 3
2015010619, -1, 23, 999999, 28, 2
2015010620, -1, 25, 999999, 6, 0
2015010621, -4, 25, 999999, 320, 0
2015010622, -4, 26, 999999, 91, 0
2015010623     ,999999,999999,999999,999999,999999
2015010700, -4, 29, 999999, 320, 0
2015010701, -4, 30, 999999, 357, 0
2015010702, -3, 33, 999999, 317, 0
2015010703, -5, 33, 999999, 312, 0
2015010704, -5, 33, 999999, 332, 0
2015010705, -5, 35, 999999, 283, 0
2015010706, -6, 36, 999999, 317, 0
2015010707, -5, 35, 999999, 326, 0
2015010708, -4, 38, 999999, 351, 0
2015010709, -3, 37, 999999, 337, 2
2015010710, -3, 30, 999999, 329, 0
2015010711, -1, 25, 999999, 119, 0
2015010712, 3, 23, 999999, 113, 2
2015010713, 4, 20, 999999, 85, 2
2015010714, 3, 16, 999999, 113, 1
2015010715, 6, 17, 999999, 96, 0
2015010716, 4, 19, 999999, 68, 5
2015010717, 1, 21, 999999, 62, 5
2015010718, 1, 25, 999999, 71, 4
2015010719, -1, 30, 999999, 37, 0
2015010720, -3, 32, 999999, 79, 0
2015010721, -2, 37, 999999, 281, 0
2015010722, -3, 40, 999999, 258, 0
2015010723     ,999999,999999,999999,999999,999999
2015010800, -7, 41, 999999, 289, 0
2015010801, -5, 41, 999999, 303, 2
2015010802, -6, 41, 999999, 145, 2
2015010803, -5, 40, 999999, 43, 0
2015010804, -6, 34, 999999, 346, 0
2015010805, -4, 35, 999999, 349, 2
2015010806, -4, 34, 999999, 337, 2
2015010807, -7, 36, 999999, 235, 1
2015010808, -4, 38, 999999, 286, 2
2015010809, -4, 33, 999999, 6, 0
2015010810, -1, 28, 999999, 0, 0
2015010811, 4, 25, 999999, 238, 8
2015010812, 4, 21, 999999, 232, 2
2015010813, 6, 23, 999999, 224, 10
2015010814, 8, 20, 999999, 309, 7
2015010815, 7, 17, 999999, 252, 5
2015010816, 6, 18, 999999, 238, 5
2015010817, 7, 21, 999999, 230, 5
2015010818, 3, 22, 999999, 244, 2
2015010819, 4, 26, 999999, 167, 2
2015010820, 1, 27, 999999, 156, 0
2015010821, 3, 30, 999999, 204, 3
2015010822, 2, 33, 999999, 142, 2
2015010823     ,999999,999999,999999,999999,999999
2015010900, 2, 36, 999999, 116, 3
2015010901, 0, 40, 999999, 14, 3
2015010902, -1, 39, 999999, 130, 0
2015010903, 1, 41, 999999, 354, 3
2015010904, -1, 38, 999999, 351, 1
2015010905, -1, 40, 999999, 289, 2
2015010906, 0, 34, 999999, 281, 2
2015010907, -2, 42, 999999, 170, 1
2015010908, 0, 44, 999999, 31, 3
2015010909, 1, 41, 999999, 65, 0
2015010910, 2, 32, 999999, 238, 2
2015010911, 3, 28, 999999, 241, 1
2015010912, 4, 20, 999999, 286, 7
2015010913, 5, 17, 999999, 306, 7
2015010914, 8, 15, 999999, 306, 9
2015010915, 6, 12, 999999, 309, 9
2015010916, 6, 13, 999999, 332, 5
2015010917, 4, 15, 999999, 343, 0
2015010918, 4, 22, 999999, 332, 3
2015010919, 1, 23, 999999, 306, 2
2015010920, 0, 25, 999999, 269, 0
2015010921, 1, 31, 999999, 351, 2
2015010922, 0, 34, 999999, 351, 2
2015010923     ,999999,999999,999999,999999,999999
2015011000, -1, 33, 999999, 17, 2
2015011001, -4, 36, 999999, 249, 0
2015011002, -2, 37, 999999, 357, 2
2015011003, -1, 27, 999999, 210, 1
2015011004, -1, 31, 999999, 227, 0
2015011005, -2, 33, 999999, 354, 2
2015011006, -4, 32, 999999, 14, 1
2015011007, -1, 31, 999999, 249, 4
2015011008, -2, 35, 999999, 162, 1
2015011009, 0, 28, 999999, 261, 4
2015011010, 3, 23, 999999, 230, 7
2015011011, 4, 19, 999999, 252, 8
2015011012, 6, 18, 999999, 238, 7
2015011013, 7, 16, 999999, 252, 5
2015011014, 11, 15, 999999, 261, 8
2015011015, 9, 12, 999999, 249, 8
2015011016, 11, 16, 999999, 241, 10
2015011017, 9, 17, 999999, 278, 8
2015011018, 8, 19, 999999, 247, 5
2015011019, 7, 22, 999999, 258, 3
2015011020, 5, 25, 999999, 179, 2
2015011021, 2, 25, 999999, 346, 0
2015011022, 0, 28, 999999, 20, 1
2015011023     ,999999,999999,999999,999999,999999
2015011100, 1, 32, 999999, 303, 3
2015011101, -1, 29, 999999, 6, 1
2015011102, -1, 27, 999999, 9, 1
2015011103, 0, 31, 999999, 315, 2
2015011104, -2, 31, 999999, 332, 1
2015011105, -1, 34, 999999, 312, 3
2015011106, -1, 34, 999999, 71, 2
2015011107, -5, 40, 999999, 320, 1
2015011108, -4, 37, 999999, 323, 0
2015011109, -4, 38, 999999, 300, 0
2015011110, 1, 29, 999999, 113, 4
2015011111, 0, 26, 999999, 40, 2
2015011112, 2, 24, 999999, 62, 2
2015011113, 2, 23, 999999, 28, 0
2015011114, 5, 23, 999999, 60, 4
2015011115, 5, 22, 999999, 99, 4
2015011116, 2, 23, 999999, 79, 2
2015011117, 2, 30, 999999, 94, 6
2015011118, 1, 37, 999999, 48, 3
2015011119, 1, 40, 999999, 37, 2
2015011120, -2, 41, 999999, 45, 0
2015011121, -2, 46, 999999, 9, 2
2015011122, -4, 48, 999999, 6, 0
2015011123     ,999999,999999,999999,999999,999999
2015011200, -6, 51, 999999, 323, 0
2015011201, -7, 53, 999999, 346, 1
2015011202, -7, 55, 999999, 346, 1
2015011203, -7, 56, 999999, 312, 0
2015011204, -6, 60, 999999, 309, 3
2015011205, -6, 61, 999999, 295, 2
2015011206, -7, 64, 999999, 346, 0
2015011207, -8, 67, 999999, 340, 2
2015011208, -8, 69, 999999, 326, 2
2015011209, -7, 66, 999999, 309, 2
2015011210, -6, 56, 999999, 221, 0
2015011211, -4, 51, 999999, 159, 0
2015011212, -1, 46, 999999, 139, 1
2015011213, 1, 45, 999999, 108, 4
2015011214, -1, 43, 999999, 102, 2
2015011215, 1, 44, 999999, 79, 4
2015011216, 1, 45, 999999, 91, 4
2015011217, 0, 48, 999999, 65, 4
2015011218, -3, 50, 999999, 82, 1
2015011219, -2, 54, 999999, 34, 2
2015011220, -2, 56, 999999, 164, 0
2015011221, -5, 55, 999999, 258, 0
2015011222, -3, 57, 999999, 332, 2
2015011223     ,999999,999999,999999,999999,999999
2015011300, -4, 60, 999999, 329, 0
2015011301, -5, 61, 999999, 6, 2
2015011302, -7, 60, 999999, 0, 0
2015011303, -8, 62, 999999, 340, 0
2015011304, -8, 62, 999999, 244, 0
2015011305, -8, 65, 999999, 0, 0
2015011306, -7, 72, 999999, 334, 2
2015011307, -9, 70, 999999, 289, 0
2015011308, -9, 70, 999999, 292, 0
2015011309, -6, 71, 999999, 0, 0
2015011310, -6, 58, 999999, 119, 0
2015011311, -3, 50, 999999, 85, 0
2015011312, -1, 44, 999999, 62, 1
2015011313, 0, 36, 999999, 113, 2
2015011314, 3, 36, 999999, 105, 6
2015011315, 0, 32, 999999, 82, 4
2015011316, -1, 35, 999999, 79, 4
2015011317, -2, 39, 999999, 68, 3
2015011318, -1, 46, 999999, 77, 4
2015011319, -4, 49, 999999, 57, 1
2015011320, -5, 53, 999999, 303, 0
2015011321, -4, 58, 999999, 329, 2
2015011322, -4, 59, 999999, 130, 0
2015011323     ,999999,999999,999999,999999,999999
2015011400, -8, 62, 999999, 309, 0
2015011401, -5, 64, 999999, 102, 0
2015011402, -5, 64, 999999, 292, 2
2015011403, -7, 60, 999999, 332, 0
2015011404, -7, 60, 999999, 300, 0
2015011405, -8, 63, 999999, 312, 0
2015011406, -6, 67, 999999, 173, 0
2015011407, -9, 70, 999999, 337, 0
2015011408, -10, 70, 999999, 3, 0
2015011409, -8, 65, 999999, 300, 0
2015011410, -4, 63, 999999, 119, 0
2015011411, -2, 55, 999999, 111, 2
2015011412, 0, 47, 999999, 54, 2
2015011413, -1, 42, 999999, 108, 0
2015011414, 1, 43, 999999, 85, 3
2015011415, -1, 43, 999999, 91, 2
2015011416, 1, 50, 999999, 74, 2
2015011417, 0, 55, 999999, 68, 3
2015011418, -3, 58, 999999, 62, 1
2015011419, -4, 64, 999999, 82, 0
2015011420, -3, 67, 999999, 351, 2
2015011421, -6, 68, 999999, 275, 0
2015011422, -6, 71, 999999, 23, 0
2015011423     ,999999,999999,999999,999999,999999
2015011500, -5, 76, 999999, 317, 2
2015011501, -5, 75, 999999, 269, 0
2015011502, -8, 75, 999999, 332, 0
2015011503, -6, 77, 999999, 11, 0
2015011504, -8, 73, 999999, 210, 0
2015011505, -6, 77, 999999, 303, 2
2015011506, -8, 74, 999999, 306, 0
2015011507, -6, 77, 999999, 264, 0
2015011508, -9, 75, 999999, 11, 0
2015011509, -7, 72, 999999, 295, 0
2015011510, -3, 71, 999999, 0, 0
2015011511, -1, 53, 999999, 351, 0
2015011512, 2, 49, 999999, 62, 2
2015011513, 4, 39, 999999, 252, 7
